track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,76.0,2Q5MwpTmtjscaS34mJFXQQ,Out Of Our Heads,1965-07-30,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.723,0.863,2.0,-7.89,1.0,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813.0,,1965.0
5ZgZhzQGCqVwPydT4CkH0W,"Like a Rolling Stone - Live at Royal Albert Hall, London, UK - May 26, 1966",Bob Dylan,61.0,4MTOvlFGtVby5EuSotjvVS,The Real Royal Albert Hall 1966 Concert (Live),1966-06-22,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.162,0.867,0.0,-7.18,1.0,0.092,0.256,3.37e-05,0.682,0.499,174.851,505240.0,,1966.0
6L5BZEcZmD6RBJnimzlyKr,Nights In White Satin - Single Version / Mono Mix,The Moody Blues,67.0,3JyYXOBRAuc3XFQxFxrEcM,Days Of Future Passed (Deluxe Version),1967-11-10,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.195,0.483,4.0,-4.991,0.0,0.03,0.465,0.497,0.0686,0.173,84.71,269107.0,,1967.0
1xKQbqQtQWrtQS47fUJBtl,Piece of My Heart,Big Brother & The Holding Company,67.0,2rogKfOpmCFuqNhtGKf2dX,Cheap Thrills,1968-08-12,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.443,0.727,4.0,-7.951,1.0,0.145,0.263,0.000141,0.169,0.566,160.82,253333.0,,1968.0
4dBI72rgkmG0gTzswyBTzz,Sweet Thing - 1999 Remaster,Van Morrison,62.0,4pG3bKkbmReDt5QTDn3JDz,Astral Weeks,1968-11-01,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.518,0.385,4.0,-14.636,1.0,0.0339,0.23,0.000226,0.124,0.712,86.604,265547.0,,1968.0
7IBfmCrfaR3SLVemWhsucQ,Space Oddity - 1999 Remaster,David Bowie,7.0,2LQYvrh5jOxAAZjiBX3f2b,Space Oddity (1999 Remaster),1969-11-04,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.31,0.423,0.0,-12.902,1.0,0.0324,0.0169,1.35e-05,0.365,0.457,136.205,316333.0,,1969.0
7MX4vfOgVipkrlMyBM2jEq,Cinnamon Girl,Neil Young,0.0,0j7RCpbD7aKR1olECNnTJ2,Everybody Knows This Is Nowhere (US Release),1969-05-14,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.642,0.788,7.0,-6.388,1.0,0.0293,0.0192,0.00259,0.105,0.742,104.643,179960.0,,1969.0
3qiyyUfYe7CRYLucrPmulD,Baba O'Riley,The Who,76.0,5MqyhhHbT13zsloD3uHhlQ,Who's Next,1971-08-14,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.489,0.724,5.0,-8.367,1.0,0.0352,0.313,0.185,0.287,0.15,117.292,300400.0,,1971.0
6ul8Krzy7gmzTtC0I6s0T5,In The Land Of Grey & Pink,Caravan,0.0,5tj3rL8RocaM0Izpg9VQSU,In The Land Of Grey And Pink,1971-01-01,Progressive Rock / Metal - Rock /Metal  Progresivo,7GhTpb4eOp6403Bmgqz3db,rock,album rock,0.7,0.299,2.0,-15.579,1.0,0.0651,0.339,0.0012,0.195,0.614,84.796,298840.0,,1971.0
14XWXWv5FoCbFzLksawpEe,Riders on the Storm,The Doors,74.0,7IKUTIc9UWuVngyGPtqNHS,L.A. Woman,1971-04-19,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.549,0.722,11.0,-11.729,0.0,0.0283,0.25,0.0138,0.11,0.716,103.885,434720.0,,1971.0
