track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,85.0,700MviIgFKNTldTXmOAFOr,"Alone, Pt. II",2019-12-27,Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room,0.67,0.668,3.0,-4.306,0.0,0.0422,0.536,0.0,0.133,0.608,88.033,179053.0,,2019.0
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,84.0,2J2f6vGACFrRghO1Ki74BE,Dancin (feat. Luvli) [Krono Remix],2014-11-07,Big Room House / Bigroom,2EnVd4ugXUybVQoQrarICY,edm,big room,0.72,0.741,10.0,-6.529,0.0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053.0,,2014.0
6fenHIxXuuzKB55wY4WCHP,God Is A Dancer (with Mabel),Tiësto,82.0,2T0NPRcdhIt71ifDWm328R,God Is A Dancer (with Mabel),2019-09-20,Trance Party 2019 by FUTURE TRANCE,2yofeyPwe0ZNmJHTrGz2Qt,edm,big room,0.774,0.747,1.0,-3.908,0.0,0.082,0.0241,6.11e-06,0.342,0.833,119.964,168125.0,,2019.0
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87.0,4wquJImu8RtyEuDtIAsfcE,Higher Love,2019-06-28,Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,,2019.0
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,94.0,4zOhjJfe0dwqsNdDYk622E,Ride It,2019-07-26,Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room,0.88,0.751,7.0,-4.258,0.0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606.0,,2019.0
3TKpJrY9q49Mj1JOsM9zGL,Family,The Chainsmokers,85.0,01GR4NL5O5CZM51k0aejKD,World War Joy,2019-12-06,Dancefloor Beats,6mMk6QCzEgT3QGaCV1R4S5,edm,big room,0.584,0.607,11.0,-6.605,1.0,0.0356,0.426,0.0,0.101,0.374,117.817,194827.0,,2019.0
04ru45txpYrAEUE4wc8V33,Feel The Rush - Juelzz Radio Edit,Ingenia,12.0,5P1b8HQWFCvtUvbw0zkJGX,Feel The Rush (Juelzz Remix),2014-09-17,Big Room House / Bigroom,2EnVd4ugXUybVQoQrarICY,edm,big room,0.649,0.936,1.0,-3.542,1.0,0.045,0.00599,0.0141,0.379,0.482,128.01,212542.0,,2014.0
0qaGri80rAPOcbJi4OyLQZ,Bap U,Party Favor,0.0,6JaZmo3G70NhyDouAdAzgk,Bap U,2014-10-07,Epic Bass Drops,49EXQVXh5k1t8SOhmUeyU7,edm,big room,0.674,0.943,6.0,-3.343,1.0,0.038,0.0251,0.000405,0.108,0.398,100.001,153696.0,,2014.0
215GJ9Y7DkslTbF15hksbA,Rise Up - Original Mix,Mark Sixma,11.0,2yAbgN6IwIJLXt4elp0d8B,Rise Up,2014-12-01,big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO,2oalsaFUockoPf1DU3wrL8,edm,big room,0.724,0.89,5.0,-3.747,0.0,0.0573,0.0131,0.787,0.346,0.27,128.011,269532.0,,2014.0
7errNtPb7GTDJlFVIYVFQi,Torque (Radio Edit),New World Punx,0.0,7Hgd0F87E96rZzjlzbDu3H,Torque,2014-10-13,big boom room — TOMORROWLAND EDC EDM BIG ROOM AMF ADE DANCE TRANCE HARDWELL TIESTO,2oalsaFUockoPf1DU3wrL8,edm,big room,0.541,0.928,5.0,-6.304,0.0,0.0382,9.26e-05,0.924,0.187,0.165,129.997,192923.0,,2014.0
