track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
2dYye56XHC7zq7RVrIXndl,Addiction,Andrew W. Boss,25.0,7yhk4Y4XYdTNfR2RHQvLXU,Left Alone,2019-04-19,"Classic Rock 70s 80s 90s, Rock Classics - 70s Rock, 80s Rock, 90s Rock Rock  Classicos",3Ho3iO0iJykgEQNbjB2sic,rock,classic rock,0.609,0.937,5.0,-4.274,1.0,0.0709,0.00676,0.0,0.213,0.475,75.0,202664.0,,2019.0
0DERH4d9UnaJJuFoufN3dg,For One Night Only,Simple Minds,5.0,6fPxmq6Z9NsqiDjiGGkkaF,Forty: The Best Of Simple Minds 1979-2019 (Deluxe),2019-11-01,Classic Rock Now,37i9dQZF1DX0fWtUuB7bFE,rock,classic rock,0.432,0.894,4.0,-6.606,1.0,0.0592,0.00213,0.000313,0.108,0.229,140.008,226680.0,,2019.0
3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,The Beatles,71.0,3KzAvEXcqJKBF97HrXwlgf,Please Please Me (Remastered),1963-03-22,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,173947.0,,1963.0
29SyMC0plk6qw8NMF7lfRL,You Really Got Me - Mono Mix,The Kinks,72.0,08G3mGQXuHItbbsFAz50gJ,Kinks,1964-10-02,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.573,0.939,8.0,-6.441,1.0,0.0808,0.493,0.0,0.0994,0.963,137.382,134253.0,,1964.0
7oy11oZXWxwRYn5DUxk0oW,"One Bourbon, One Scotch, One Beer",John Lee Hooker,2.0,6PQVGMonlW89Pr5MFTMPvW,The Real Folk Blues,1966-01-01,Blues Rock,56dbowk1V5ycS5jW7DSvi5,rock,classic rock,0.746,0.56,5.0,-14.789,1.0,0.0565,0.494,0.0,0.316,0.853,124.68,184960.0,,1966.0
1Jmqubf9kGkWeYQXQKImL5,People Are Strange,The Doors,69.0,6v5IVMmY1IvWtbfnQoiFSf,Strange Days,1967-09-25,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.699,0.467,4.0,-8.578,0.0,0.0375,0.685,0.0,0.315,0.764,119.287,130173.0,,1967.0
0hKRSZhUGEhKU6aNSPBACZ,A Day In The Life - Remastered 2009,The Beatles,66.0,6QaVfG1pHYl1z15ZxkvVDW,Sgt. Pepper's Lonely Hearts Club Band (Remastered),1967-06-01,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.364,0.457,4.0,-14.162,0.0,0.0675,0.29,0.000106,0.922,0.175,163.219,337413.0,,1967.0
6Ip2Ia3DPgc9PJ6hcQW6Xa,Good Golly Miss Molly,Creedence Clearwater Revival,51.0,5pCRW9AT4BgoMOS52pRoJq,Bayou Country (40th Anniversary Edition),1969-01-05,Supernatural Classic Rock,6oghIlByD49KFGNmNU8GSH,rock,classic rock,0.566,0.765,10.0,-7.551,0.0,0.0323,0.18,0.0133,0.136,0.969,75.008,161853.0,,1969.0
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,80.0,31q47gQszFt0CddSyMksgO,Willy And The Poor Boys,1969-11-02,Classic Rock Workout,37i9dQZF1DWYNSm3Z3MxiM,rock,classic rock,0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77,140773.0,,1969.0
4BVE5tIIpYabZcYCbephNW,Touch Me,The Doors,67.0,75bLu4Ung5QbMdJYxx7wTI,The Soft Parade,1969-07-21,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.425,0.903,1.0,-4.801,1.0,0.0732,0.405,0.0128,0.117,0.769,108.748,190253.0,,1969.0
