track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),Dayvi,83.0,68hy2xnNgeo0dO0YOm4Th7,Baila Conmigo (feat. Kelly Ruiz),2018-12-28,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house,0.745,0.972,7.0,-3.506,1.0,0.0774,0.00903,0.465,0.297,0.556,128.031,189818.0,,2018.0
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84.0,1c79SozES9Eb3Lzf9KVaIa,In My Mind,2018-06-08,🔊BASSBOOSTED🔊⚡ELECTRO HOUSE⚡🔥EDM CAR MUSIC2018/2019🔥,4GSiiL8tcMgvoV7K1IADb8,edm,electro house,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560.0,,2018.0
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,91.0,1qSOaTvsCOyFJya3v1UzkP,Lose Control,2019-10-11,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.598,0.526,10.0,-8.659,0.0,0.0415,0.129,0.0,0.14,0.529,123.935,168387.0,,2019.0
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,MEDUZA,88.0,0cqRGWD3uc5Lggpducn5nD,Piece Of Your Heart,2019-02-01,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.677,0.744,10.0,-6.806,0.0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913.0,,2019.0
1sviDBcAqVOxMXq4xITVEs,Que Calor (feat. J Balvin & El Alfa),Major Lazer,84.0,2epUYHJteejHG4trbc8drd,Que Calor (feat. J Balvin & El Alfa),2019-09-11,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house,0.795,0.885,8.0,-4.13,1.0,0.0713,0.0375,0.00638,0.292,0.46,126.037,169998.0,,2019.0
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,SAINt JHN,88.0,3GqSdhWjmMypMwPLtzoFYs,Roses (Imanbek Remix),2019-10-09,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house,0.77,0.724,8.0,-5.484,1.0,0.0495,0.0167,0.0105,0.353,0.898,121.974,176840.0,,2019.0
0qaWEvPkts34WF68r8Dzx9,Turn Me On (feat. Vula),Riton,86.0,7mtnp7B5yFt3D3PAznGzc8,Turn Me On (feat. Vula),2019-09-13,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house,0.737,0.828,11.0,-4.711,1.0,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474.0,,2019.0
7pWK1kMgHy5lNNiIfuRbkP,Used To Love (with Dean Lewis),Martin Garrix,83.0,3YD1qyD9KPFzzTK1UC1Gvo,Used To Love (with Dean Lewis),2019-10-31,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,electro house,0.651,0.693,4.0,-4.722,1.0,0.0375,0.458,0.0,0.335,0.392,118.97,236765.0,,2019.0
1a8tAQAzHIPQ00OPBXGWPz,No Eyes - Radio Edit,Claptone,65.0,4R4htT1kdyGu2SlOftxZvd,No Eyes,2013-11-26,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.93,0.483,3.0,-9.925,1.0,0.0411,0.0289,0.00244,0.103,0.57,120.022,204992.0,,2013.0
1QA0NEHAHPN3XCv4H5CDmE,Africanism,Noir,34.0,0P8axSrZC0vcsQixI1kuwK,"Anthology, Vol. 1",2013-04-22,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.799,0.589,7.0,-10.589,1.0,0.0612,0.0133,0.924,0.102,0.286,124.991,495360.0,,2013.0
3KHwhq1ZsfBwRYtacrXqVP,Set Me Free,Dillon Francis,39.0,0GJ7jQJRIQNDjz54cPo2XI,"Money Sucks, Friends Rule",2014-10-22,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.719,0.718,8.0,-4.443,0.0,0.0429,0.000169,0.4,0.0507,0.588,128.014,247360.0,,2014.0
4kcsjzzTSW263lhs5VOhVa,Animals - Jay Ronko Remix,Martin Garrix,10.0,6G4JmAUhxgonriAaZNmwYR,Animals (The Remixes Part 1),2014-02-03,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.682,0.967,1.0,-4.268,1.0,0.0396,0.00762,0.278,0.0614,0.188,110.024,253093.0,,2014.0
06qKEP3ITnVPmH2ZW1zYvn,Shotgun - Quintino Remix,Yellow Claw,0.0,0tKVMaya0qTMQFf7yQHMvC,Shotgun (The Remixes),2014-02-10,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house,0.742,0.93,9.0,-3.669,1.0,0.0654,0.00286,0.00779,0.0754,0.337,127.977,293307.0,,2014.0
2zouWv67gStVJqRzXxaYcZ,SMASH! - Original Mix Edit,Ummet Ozcan,0.0,0SW0LcmjVas4tOCMjyiV8b,SMASH!,2014-07-14,Fitness Workout Electro | House | Dance | Progressive House,6KnQDwp0syvhfHOR4lWP7x,edm,electro house,0.729,0.981,5.0,-1.58,0.0,0.0444,0.0143,0.582,0.078,0.208,127.985,213750.0,,2014.0
25Jkn7pfe0wQkWLxRkgW6i,Rage - Original Mix,Sander van Doorn,0.0,2W1YVblP2AmkyiNOMwWfGU,Rage,2015-03-02,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.54,0.917,2.0,-3.367,1.0,0.0547,0.000439,0.857,0.0833,0.1,127.976,247500.0,,2015.0
0nEeyKLtk5vTlbcdvgrCOH,Infinite Ammo,Le Castle Vania,46.0,3AdNvHp7wzEBY0DYz8Oiq6,Payday,2015-10-23,Electro House 2020,317O0e8iWJLClLGDKtieRe,edm,electro house,0.597,0.96,7.0,-1.94,0.0,0.0627,9.38e-05,0.89,0.325,0.144,127.016,232637.0,,2015.0
5yrucjkvhw5RaNZHCA3rf1,Jumping Jack,Justin Mylo,0.0,3cMK6QZDFjZ4xTnC8nxhLB,Jumping Jack,2016-07-29,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.731,0.937,5.0,-5.2,0.0,0.0504,0.00835,0.761,0.148,0.171,128.019,220000.0,,2016.0
