track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
62vpWI1CHwFy7tMIcSStl8,No Role Modelz,J. Cole,82.0,7viNUmZZ8ztn2UB4XB3jIL,2014 Forest Hills Drive,2014-12-09,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0,0.0565,0.458,100.0,292987.0,,2014.0
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,85.0,54tInqO543zy0Y5F2VsUQI,Amala,2018-03-30,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.689,0.516,8.0,-5.857,1.0,0.0444,0.513,0.0,0.163,0.209,124.876,190920.0,,2018.0
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),Bazzi,81.0,6hCR3zQtRH0IgookOYt771,Beautiful (feat. Camila Cabello),2018-08-02,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,,2018.0
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,83.0,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.58,0.565,0.0,-7.065,0.0,0.0488,0.0671,0.0,0.135,0.138,112.986,242253.0,,2015.0
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,86.0,42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight,2016-09-16,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0,,2016.0
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,82.0,6OGzmhzHcjf0uN9j7dYvZH,Chanel,2017-03-10,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.776,0.503,0.0,-5.732,0.0,0.237,0.874,0.0,0.112,0.473,110.134,210285.0,,2017.0
5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,82.0,4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),2018-10-24,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.574,0.758,1.0,-5.029,0.0,0.0621,0.0969,0.0,0.395,0.492,144.111,182623.0,,2018.0
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,84.0,4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,,2017.0
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,84.0,7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),2018-07-12,Electropop 2019,4Bi8VLtaSu0JILliif8lH6,pop,electropop,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,173800.0,,2018.0
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,83.0,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,,2018.0
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,81.0,17FBoXK1NU2rvJBbzdzw0r,FUTURE,2017-06-30,ELECTROPOP🐹,44p8nNLe4fGfUeArS3MaIX,pop,electropop,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,204600.0,,2017.0
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,97.0,1Czfd5tEby3DbdYNdqzrCa,Falling,2018-10-05,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382.0,,2018.0
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Kina,86.0,5LZSpPoBVBsh6kRSEKfPQ8,Get You The Moon (feat. Snøw),2018-10-08,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.498,0.235,1.0,-16.541,0.0,0.188,0.72,0.0,0.144,0.0895,118.917,179080.0,,2018.0
6FRLCMO5TUHTexlWo8ym1W,Girls Like You (feat. Cardi B),Maroon 5,81.0,75iQSBSaztFIAun9qLLCnb,Girls Like You (feat. Cardi B),2018-05-30,Mix ElectroPop//ElectroHouse// DeepHouse 2020,23swqzpOZwW1NhPiZ7iyFI,pop,electropop,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,235545.0,,2018.0
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,81.0,3J8W9AOjQhnBLCX33m3atT,Heathens,2016-06-16,ELECTROPOP,2UsEj2GUukV0GLbsE3rldz,pop,electropop,0.732,0.396,4.0,-9.348,0.0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920.0,,2016.0
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,84.0,4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,2018-04-06,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,,2018.0
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,French Montana,82.0,4c2p3TdN7NcQfCXyueCNnC,Jungle Rules,2017-07-14,10er Playlist,1kEczIkZH8IgaWT2BiApxZ,pop,electropop,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0,,2017.0
