track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,85.0,5tdGgaiW18D6bjHFLhtblL,Camelot,2019-09-13,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.787,0.713,7.0,-5.252,1.0,0.401,0.0849,0.0,0.717,0.762,175.041,148759.0,,2019.0
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,97.0,1Czfd5tEby3DbdYNdqzrCa,Falling,2018-10-05,Gangsta Rap 💎 Rap Party,0BwUQpqHSlC2YfKwOp2dQV,rap,gangster rap,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382.0,,2018.0
6vN77lE9LK6HP2DewaN6HZ,Yes Indeed,Lil Baby,81.0,7yf9ZJyHRbp8sHtpDKfPpt,Harder Than Ever,2018-05-18,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.964,0.346,5.0,-9.309,0.0,0.53,0.035,0.0,0.108,0.562,119.958,142273.0,,2018.0
7eBqSVxrzQZtK2mmgRG6lC,Murder On My Mind,YNW Melly,85.0,7naY6j4wcgUxfHB98G79CW,I AM YOU,2018-08-03,GANGSTA RAP,3DUkl93JjPdOyX83SJr5ms,rap,gangster rap,0.759,0.73,0.0,-7.985,0.0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434.0,,2018.0
4SDgTLDYrJ2UrHbkRkg7MD,Panini - DaBaby Remix,Lil Nas X,82.0,71BrrQxz8mZAneNSDE9Lov,Panini,2019-09-13,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.717,0.598,5.0,-5.613,0.0,0.0809,0.22,0.0,0.122,0.496,153.905,151040.0,,2019.0
1ThmUihH9dF8EV08ku5AXN,Faucet Failure,Ski Mask The Slump God,82.0,0z0z4DcXhHiobX5ZKAw8Qn,STOKELEY,2018-11-30,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.935,0.552,10.0,-9.373,0.0,0.335,0.111,0.0,0.0952,0.615,99.993,145627.0,,2018.0
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,88.0,6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147.0,,2018.0
2t8yVaLvJ0RenpXUIAC52d,a lot,21 Savage,81.0,007DWn799UWvfY1wwZeENR,i am > i was,2018-12-21,GTA San Andreas Radio Los Santos,6m0BqpJfSP2m5xCOFjDRHw,rap,gangster rap,0.837,0.636,1.0,-7.643,1.0,0.086,0.0395,0.00125,0.342,0.274,145.972,288624.0,,2018.0
3P5ZMbUFyv5XnJ8WYi0vdZ,Ich weiss was gut ist,Olexesh,10.0,7LJ3J5Kg1P108JrAC6ahOs,Strassencocktail (Deluxe Version),2015-09-25,GANGSTA Rap,5GA8GDo7RQC3JEanT81B3g,rap,gangster rap,0.78,0.525,7.0,-7.427,1.0,0.34,0.0377,1.01e-05,0.072,0.54,140.096,165092.0,,2015.0
0jsFafckbVIDaq7Ubi0yTX,На юг,Rem Digga,36.0,3KcS0EQ85imdsdVsjMY7nD,На юг,2015-03-17,Russian Gangster Rap,0u0qLLE8MZc679RZWCk1TT,rap,gangster rap,0.831,0.531,6.0,-8.865,0.0,0.0855,0.705,0.0,0.128,0.193,119.982,246703.0,,2015.0
