track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
6I3WvkMMeP2nB40Mvvu0zo,True Believer,Santa Cruz,9.0,41JOJzXVLVuX1kUqaphfE5,Katharsis,2019-10-16,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.486,0.979,3.0,-2.273,1.0,0.0856,0.00126,0.0,0.627,0.518,123.941,201547.0,,2019.0
3WvENg99oEKz7rPg6CbLOM,Truth To the Weak (Not Built To Collapse),Fire From The Gods,39.0,2OdPBaKT8sPjAWYTojvbJx,Truth To the Weak (Not Built To Collapse),2019-07-26,Hard Rock Workout,6kXNv8J3HCYztxjOIUzApv,rock,hard rock,0.492,0.939,1.0,-4.788,0.0,0.369,0.0389,0.0,0.23,0.576,163.026,217133.0,,2019.0
3Ksb0Eq6OmtmYuraqpsijU,Yuve Yuve Yu (feat. From Ashes to New),The HU,56.0,3bXjT3T1XZEmcQCwLvfZLT,Yuve Yuve Yu (feat. From Ashes to New),2019-10-04,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.552,0.971,10.0,-4.756,0.0,0.0646,0.0101,0.00563,0.164,0.523,132.009,253864.0,,2019.0
76aP72cmBmX9fxSmeZ0fPb,The Storm,Ritchie Blackmore's Rainbow,36.0,0sNi6ASggCpBM3C3hs9Q6H,The Storm,2019-05-17,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.592,0.947,5.0,-5.312,0.0,0.0358,0.00373,5.02e-05,0.115,0.626,96.01,257560.0,,2019.0
0Lbw9FBbnN9vgiPWnD6Lrt,349,MINST,18.0,1pekDtlDDkzan59mOreZ5F,Det finns ingen ärlighet,2019-11-29,HARD ROCK Vibes,28817h8FTrRI4V40DqHVaB,rock,hard rock,0.497,0.715,3.0,-8.792,1.0,0.032,1.24e-05,0.357,0.301,0.366,109.041,224496.0,,2019.0
5qD3Qv8Wu3r5uRD0DahcZy,Bow Down,I Prevail,69.0,2QRU8jGOJHDMrCTPKIHVik,TRAUMA,2019-03-29,Hard Rock Workout,5nOO372uzpOM5rB2bRWfkp,rock,hard rock,0.426,0.959,0.0,-4.95,1.0,0.0525,5.36e-05,6.54e-06,0.707,0.372,155.01,242680.0,,2019.0
4b2gt6O1WK9AbylQfZTNKI,Purpose For Pain,Scott Stapp,11.0,6myuj8GIfczHdNBMqtMAAE,Face of the Sun,2019-05-31,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.419,0.948,1.0,-4.27,1.0,0.0565,0.000647,0.0,0.268,0.293,92.516,198573.0,,2019.0
1f6DVTZxkjVpecZ2JzilHg,Walking Down The Road,JGS,36.0,5sgIO00FPm0pYYlm1WvcHM,Take One,2019-10-19,HARD ROCK Vibes,28817h8FTrRI4V40DqHVaB,rock,hard rock,0.686,0.524,11.0,-7.769,1.0,0.0338,0.284,7.95e-05,0.145,0.78,97.335,156087.0,,2019.0
6dx5S8zTzRqYulcXGNy0oy,Kill the Lights,Righteous Vendetta,47.0,7pZgEhCSZ4dMpZwze54tQW,Kill the Lights,2019-09-06,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.527,0.973,3.0,-2.948,0.0,0.153,0.00121,0.0,0.335,0.663,144.046,172250.0,,2019.0
2o8SO1ORcZmNh93M0xqIb7,Tonight the Moonlight Let Me Down,Black Star Riders,33.0,7pDnhv0FGExOmxoaXWd4nJ,Another State of Grace,2019-09-06,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.512,0.987,8.0,-4.116,1.0,0.0861,0.00994,0.000161,0.125,0.367,141.046,234056.0,,2019.0
607jKEHXU6EujgA90vKARO,The Leap,Our Last Night,43.0,4dfH6sDi0W0fV2S9EX86wV,The Leap,2019-02-22,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.516,0.924,11.0,-6.116,0.0,0.0816,0.0002,1.11e-06,0.125,0.536,89.973,221848.0,,2019.0
1Q2CupFbpMieyx9VkoMjVb,Trial by Fire,Mammothor,37.0,5ByRdbUXbHEK7ogPeq595a,Trial by Fire,2019-10-25,Hard Rock Workout,3YouF0u7waJnolytf9JCXf,rock,hard rock,0.281,0.977,10.0,-3.73,0.0,0.0632,4.08e-05,0.00309,0.205,0.416,83.645,222840.0,,2019.0
2qRoACE5NFJUfm6KdHg9vL,Chance,Davide Cristofori,16.0,15k83heyysRNBm6j5G2yZO,Chance,2019-11-28,HARD ROCK Vibes,28817h8FTrRI4V40DqHVaB,rock,hard rock,0.683,0.694,2.0,-8.723,1.0,0.1,0.0682,7.1e-05,0.175,0.598,154.93,142452.0,,2019.0
1ZSu2nD48t0pnj0LcpdXGt,Burn,In Flames,25.0,3QqYehg4qkksI0uEwA05dU,Burn,2019-02-08,Hard Rock Workout,6kXNv8J3HCYztxjOIUzApv,rock,hard rock,0.522,0.971,6.0,-4.59,1.0,0.109,4.8e-05,0.0534,0.054,0.195,114.992,223720.0,,2019.0
05h5rk4vraQoYmce4dor9H,War in the Streets.,After 10,39.0,3yIH2ejSmFwXmZd9YU3YhZ,War in the Streets.,2019-02-22,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.433,0.849,7.0,-5.043,1.0,0.0565,0.00995,0.017,0.145,0.0666,164.143,264640.0,,2019.0
3IKcPRETvaJ7ARE3W3RWyN,Insanity,Before Us All,20.0,2mgHkKJwWMr2vm6QRdJIwJ,Deception,2019-09-27,HARD ROCK Vibes,28817h8FTrRI4V40DqHVaB,rock,hard rock,0.465,0.991,5.0,-3.181,1.0,0.133,2.55e-05,0.0384,0.0908,0.185,139.985,216214.0,,2019.0
0zID6BkLLhlz6QTeHONlEs,PIERREPOINT,Florence Black,34.0,6c11A68LdDTS8uzSnNP62m,PIERREPOINT,2019-10-11,Hard Rock,37i9dQZF1DX1X7WV84927n,rock,hard rock,0.563,0.821,10.0,-8.071,1.0,0.0445,5.14e-05,2.28e-06,0.0731,0.669,94.038,203617.0,,2019.0
2q9ZHNJl6oCCci1DwAD45v,Light My Fire - New Stereo Mix Advanced Resolution,The Doors,0.0,22Wa3zp4MwTRxjKlYaHXjK,The Doors [40th Anniversary Mixes],1967-01-04,Classic Hard Rock,1gAeQGQ7hr2q7IYmaejDW6,rock,hard rock,0.462,0.629,4.0,-11.963,0.0,0.0294,0.149,0.000194,0.202,0.675,131.062,418387.0,,1967.0
7s2orxqJ8qE0aG3Ngvct3C,Green-Eyed Lady,Sugarloaf,47.0,6pjUe7X2t0bBla4KbMR1h5,Green-Eyed Lady,1970-01-01,Hard Rock Cafe Classics,3sv5ViKoPDNnZRsklzEGMN,rock,hard rock,0.564,0.523,7.0,-12.908,1.0,0.122,0.178,0.0303,0.0624,0.89,149.304,219760.0,,1970.0
2HYJoS3SWjIct4WS02DWtB,In Search Of The Peace Of Mind,Scorpions,41.0,22iTF02z2K23GPjUMrMNo3,Lonesome Crow,1972-01-01,This Is Scorpions,37i9dQZF1DWViGKI2U5P2K,rock,hard rock,0.269,0.488,4.0,-9.622,0.0,0.033,0.402,0.483,0.449,0.187,101.392,297120.0,,1972.0
3l85BgDKG8LVAlEnHEU8lP,Tomorrow's Dream,Black Sabbath,0.0,2PoPhjSYlXmYfkNKHVq1cQ,Black Sabbath Vol. 4 (Remastered),1972-09-25,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.479,0.571,7.0,-12.65,1.0,0.0388,0.0472,0.031,0.14,0.35,110.75,188775.0,,1972.0
7aE5WXu5sFeNRh3Z05wwu4,Wish You Were Here - 2011 Remastered Version,Pink Floyd,71.0,6uvBKDGlJAYLH5Vy6RQVsc,Wish You Were Here [Remastered] (Remastered Version),1975-09-12,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.481,0.262,7.0,-15.73,1.0,0.0414,0.735,0.0114,0.832,0.375,122.883,334744.0,,1975.0
6Z435tBPT5JamUR9dN7y8y,The Temple Of The King,Rainbow,6.0,0RsJGRspEXnzwNMBAdrV3u,Ritchie Blackmore's Rainbow (Remastered),1975-01-01,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.486,0.487,9.0,-11.633,0.0,0.0341,0.445,1.44e-05,0.0648,0.373,81.972,282013.0,,1975.0
1cnA8Zf6McVyoWTr8xf0Ml,Stargazer,Rainbow,2.0,3gsCg5XVJnAp5mLblhIUtP,Rising (Remastered),1976-01-01,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.166,0.948,11.0,-8.503,0.0,0.0631,0.00374,0.0131,0.769,0.476,177.495,506160.0,,1976.0
6QtDzKo8oVwnOx7Sg7jxUe,Over The Mountain,Ozzy Osbourne,0.0,1nBvUZvKdqkdMF4UV8Ztbl,Diary Of A Madman,1981-11-07,’80s Hard Rock,37i9dQZF1DX68H8ZujdnN7,rock,hard rock,0.463,0.926,5.0,-3.563,0.0,0.12,4.95e-05,0.000576,0.0868,0.501,131.129,271400.0,,1981.0
528CAH5pTLq86oZ52fHifA,The Flame,Cheap Trick,62.0,1aYjx4tcmci0lYwT5sKgvM,Lap Of Luxury,1988-04-12,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,0y8MUle9Lf8VDNjPsskzJB,rock,hard rock,0.629,0.581,4.0,-11.856,1.0,0.027,0.513,2.06e-06,0.0755,0.359,97.074,338800.0,,1988.0
4QPRua3G7RQraiYX2NwdH6,Addicted To That Rush,Mr. Big,3.0,78ed0Ew3rR89MCbOaEyFZQ,Mr. Big,1989-06-13,’80s Hard Rock,37i9dQZF1DX68H8ZujdnN7,rock,hard rock,0.46,0.974,2.0,-5.095,1.0,0.156,0.0537,7.95e-06,0.329,0.444,112.684,284973.0,,1989.0
2SbsvihBJmgNKZ4qkXFWrp,More Than Words,Extreme,75.0,7GOk2a0toWcEMGEm8uKLyz,Extreme II - Pornograffitti,1990-01-01,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,0y8MUle9Lf8VDNjPsskzJB,rock,hard rock,0.623,0.127,6.0,-14.935,1.0,0.0306,0.452,0.0,0.114,0.237,91.625,334040.0,,1990.0
3FUS56gKr9mVBmzvlnodlh,Killing In the Name,Rage Against The Machine,57.0,4LaRYkT4oy47wEuQgkLBul,Rage Against The Machine,1992-11-03,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,0.457,0.779,7.0,-6.323,1.0,0.257,0.0185,2.04e-06,0.0247,0.734,86.573,313667.0,,1992.0
0fFotmAiRwLfpogfYs48PQ,Lavender,Marillion,51.0,1z0n45uHXopsKTLEsqeFUW,"A Singles Collection 1982-1992: Six Of One, Half-Dozen Of The Other",1992-06-08,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.331,0.55,9.0,-6.112,1.0,0.0311,0.309,0.1,0.0875,0.228,138.071,224160.0,,1992.0
