track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
4sjiIpEv617LDXaidKioOI,223's (feat. 9lokknine),YNW Melly,85.0,7cekEHNPgpKwVd9kJE9G8F,223's (feat. 9lokknine),2019-08-09,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.932,0.547,0.0,-7.787,0.0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640.0,,2019.0
6fTt0CH2t0mdeB2N9XFG5r,Panini,Lil Nas X,84.0,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.703,0.594,5.0,-6.146,0.0,0.0752,0.342,0.0,0.123,0.475,153.848,114893.0,,2019.0
7tgjDlQsMR8RvkdlNCJA58,6 Kiss,Trippie Redd,83.0,0tKX7BLXiiRgXUKYdJzjEz,A Love Letter To You 4,2019-11-22,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.687,0.449,2.0,-10.061,1.0,0.154,0.109,0.0,0.282,0.229,142.048,199437.0,,2019.0
6klLvorLoo1sxvZcjJIY8I,Make No Sense,YoungBoy Never Broke Again,84.0,1nzUj7VkiaytMmf2KrhK2L,AI YoungBoy 2,2019-10-11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.876,0.733,10.0,-4.478,0.0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630.0,,2019.0
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,87.0,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,,2018.0
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,91.0,3Cse4lihKX7ww99QnZGQAh,Ayy Macarena,2019-11-13,Hip-Hop Central,37i9dQZF1DWY6tYEFs22tT,rap,hip hop,0.816,0.63,2.0,-5.568,1.0,0.226,0.133,0.0,0.0692,0.715,96.493,131607.0,,2019.0
2Xo3rLHjXfdb4avN68aQyi,BEST ON EARTH (feat. BIA),Russ,82.0,2TBJtc64Y76xWs98Mtko07,BEST ON EARTH (feat. BIA),2019-10-18,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.568,0.764,5.0,-3.465,0.0,0.255,0.217,0.0,0.0931,0.625,179.985,160720.0,,2019.0
2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,87.0,0O1PJ0t69iTO5yWrIeIga0,Baby On Baby,2019-03-01,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.876,0.662,2.0,-6.482,0.0,0.426,0.0608,0.0,0.127,0.844,75.445,163320.0,,2019.0
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92.0,3t6Z2qoBVCS4NHNI25XECH,Bandit (with YoungBoy Never Broke Again),2019-10-04,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,,2019.0
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,86.0,42WVQWuf1teDysXiOupIZt,Birds In The Trap Sing McKnight,2016-09-16,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0,,2016.0
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,85.0,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,,2018.0
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,84.0,4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,,2017.0
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,Baby Keem,83.0,7Cw4LObzgnVqSlkuIyywtI,DIE FOR MY BITCH,2019-07-19,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.83,0.564,1.0,-7.822,1.0,0.235,0.177,0.0,0.128,0.107,85.042,129882.0,,2019.0
6YfTl5YupXOQBKiJJLrxcw,Death (feat. DaBaby),Trippie Redd,82.0,0wb2DaHDhLUUS5RRFa26U9,Death (feat. DaBaby),2019-11-12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.802,0.82,10.0,-5.969,0.0,0.146,0.0579,0.0,0.149,0.613,164.005,172196.0,,2019.0
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),Polo G,84.0,26ztFK3E69j5THJQdyxC5w,Die A Legend,2019-06-07,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.772,0.639,1.0,-7.119,1.0,0.467,0.15,0.0,0.0698,0.261,168.112,166560.0,,2019.0
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84.0,2yXnY2NiaZk9QiJJittS81,Drip Harder,2018-10-05,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,,2018.0
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE,Kodak Black,83.0,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760.0,,2018.0
5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,Logic,81.0,1HiN2YXZcc3EjmVZ4WjfBk,Everybody,2017-05-05,This Is Logic,37i9dQZF1DWTIuAboZgTMf,rap,hip hop,0.62,0.574,5.0,-7.788,0.0,0.0479,0.57,0.0,0.19,0.352,100.021,250173.0,,2017.0
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,91.0,4uTOUYhLrGRKkfxfPKTkuy,Futsal Shuffle 2020,2019-12-12,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.881,0.457,7.0,-8.191,0.0,0.156,0.0327,0.0,0.231,0.296,136.97,198913.0,,2019.0
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,88.0,1jToVugwBEzcak8gJNZG2f,GINGER,2019-08-23,Alternative Hip Hop,37i9dQZF1DWTggY0yqBxES,rap,hip hop,0.453,0.538,1.0,-8.212,1.0,0.0638,0.449,0.0,0.19,0.516,122.973,204533.0,,2019.0
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,94.0,2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM,2019-10-04,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721.0,,2019.0
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,85.0,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,2018-12-21,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.581,0.662,9.0,-5.239,1.0,0.303,0.0153,0.0,0.111,0.434,93.023,189487.0,,2018.0
56AMYGJzxBO6p8v0wEe9de,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,86.0,7hXWMVDn9SVV7zNYiQGvWO,Hot (Remix) [feat. Gunna and Travis Scott],2019-11-01,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.845,0.631,7.0,-8.206,0.0,0.216,0.188,0.0,0.0806,0.545,111.983,279907.0,,2019.0
