track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
0wXuerDYiBnERgIpbb3JBR,Redbone,Childish Gambino,81.0,4Carzsnpd6yvuHZ49I0oz8,"""Awaken, My Love!""",2016-12-02,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.743,0.347,1.0,-11.174,1.0,0.121,0.167,0.00951,0.103,0.572,160.143,326933.0,,2016.0
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,82.0,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,,2016.0
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,90.0,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,,2019.0
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,87.0,2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,,2018.0
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,87.0,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,,2018.0
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,91.0,5SL9nXZYZZl68bHwaM8uLa,Adore You,2019-12-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,,2019.0
4Yxc55NX3tAXC2mHRAhtcW,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,83.0,5p3gSxNiXeYlPlztVAUjB2,"All I Want (From ""High School Musical: The Musical: The Series"")",2019-11-27,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.376,0.43,0.0,-6.585,0.0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323.0,,2019.0
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,85.0,54tInqO543zy0Y5F2VsUQI,Amala,2018-03-30,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.689,0.516,8.0,-5.857,1.0,0.0444,0.513,0.0,0.163,0.209,124.876,190920.0,,2018.0
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,83.0,6kf46HbnYCZzP6rjvQHYzg,American Teen,2017-04-27,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.798,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547.0,,2017.0
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello),Bazzi,81.0,6hCR3zQtRH0IgookOYt771,Beautiful (feat. Camila Cabello),2018-08-02,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,,2018.0
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Ed Sheeran,89.0,3E12WU80fDMyu7GyIAx7wJ,Beautiful People (feat. Khalid),2019-06-28,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,,2019.0
58wyJLv6yH1La9NIZPl3ne,Can We Kiss Forever?,Kina,85.0,0MGcjBIFcL2qaCrgGjIGFb,Can We Kiss Forever?,2018-08-31,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.522,0.128,4.0,-18.717,1.0,0.0357,0.894,0.026,0.0941,0.124,109.986,187932.0,,2018.0
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,93.0,1PTTAq0OxggVgqP5WTYWDh,China,2019-07-19,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.786,0.808,7.0,-3.702,1.0,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714.0,,2019.0
5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,82.0,4bLCVUEB9YWKEeaJm8FfqQ,Close To Me (feat. Swae Lee),2018-10-24,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.574,0.758,1.0,-5.029,0.0,0.0621,0.0969,0.0,0.395,0.492,144.111,182623.0,,2018.0
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85.0,0rSLgV8p5FzfnqlEk4GzxE,Closer (feat. Halsey),2016-07-29,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,,2016.0
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,94.0,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,,2019.0
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,83.0,2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,,2019.0
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,86.0,1DNx0H5ZX1ax3yyRwtgT4S,"Don't Forget About Me, Demos",2018-10-16,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.815,0.518,7.0,-6.594,0.0,0.0897,0.223,0.0,0.104,0.877,151.891,177667.0,,2018.0
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84.0,2yXnY2NiaZk9QiJJittS81,Drip Harder,2018-10-05,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,,2018.0
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,83.0,01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),2017-06-02,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320.0,,2017.0
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE,Kodak Black,83.0,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760.0,,2018.0
4tNXntkAzQ5A2dfYRYGIIQ,Easier,5 Seconds of Summer,81.0,0puSqXoH0dMgimvyi5slCt,Easier,2019-05-23,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.505,0.428,5.0,-5.604,1.0,0.221,0.489,0.0,0.0977,0.618,175.813,157493.0,,2019.0
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,81.0,429B3se6xtZuvblNnS2iy7,Electricity (with Dua Lipa),2018-09-06,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173.0,,2018.0
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,83.0,1BmxOYHjQv1dKZRr13YRZM,FRIENDS,2018-02-09,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,,2018.0
4TnjEaWOeW0eKTKIEvJyCa,Falling,Trevor Daniel,97.0,1Czfd5tEby3DbdYNdqzrCa,Falling,2018-10-05,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.784,0.43,10.0,-8.756,0.0,0.0364,0.123,0.0,0.0887,0.236,127.087,159382.0,,2018.0
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,92.0,1Flcx9eDuv7pTGM9nJBmGL,Fantasias,2019-08-29,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.879,0.703,1.0,-4.219,1.0,0.0701,0.143,0.0,0.0569,0.788,94.004,199711.0,,2019.0
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),Khalid,82.0,6KT8x5oqZJl9CcnM66hddo,Free Spirit,2019-04-05,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.901,0.4,0.0,-8.575,1.0,0.126,0.051,0.0,0.0599,0.346,135.984,197573.0,,2019.0
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,Juice WRLD,92.0,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,2018-12-10,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,239836.0,,2018.0
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,89.0,78EicdHZr5XBWD7llEZ1Jh,Happier,2018-08-17,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,,2018.0
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,87.0,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,2019-06-07,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.842,0.734,1.0,-5.065,0.0,0.0588,0.0427,0.0,0.106,0.952,137.958,181027.0,,2019.0
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,81.0,6nAjd2MlBY1f1mNu6BsWLO,Happy Now,2018-10-26,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.693,0.575,9.0,-6.998,1.0,0.0801,0.374,0.0,0.252,0.492,117.999,211362.0,,2018.0
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87.0,4wquJImu8RtyEuDtIAsfcE,Higher Love,2019-06-28,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,,2019.0
5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,91.0,65Pp2tO1Ul66KcCmmkRGWZ,Hola (Remix),2019-11-01,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.654,0.672,0.0,-5.98,0.0,0.311,0.471,0.0,0.0781,0.343,181.857,249520.0,,2019.0
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,98.0,4g1ZRSobMefqF6nelkgibi,Hollywood's Bleeding,2019-09-06,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.695,0.762,0.0,-3.497,1.0,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280.0,,2019.0
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,Sam Smith,91.0,7baaCf70tVcUBL2bbkuXjo,How Do You Sleep?,2019-07-19,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.477,0.682,1.0,-4.931,0.0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205.0,,2019.0
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,90.0,5Nux7ozBJ5KJ02QYWwrneR,I Don't Care (with Justin Bieber),2019-05-10,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,,2019.0
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,Lauv,83.0,7l6fTSFvlumnPFpOSrbnDV,I Like Me Better,2017-05-19,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.752,0.505,9.0,-7.621,1.0,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437.0,,2017.0
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",84.0,5zi7WsKlIiUXv09tbGLKsE,IGOR,2019-05-17,Ultimate Indie Presents... Best Tracks of 2019,37i9dQZF1DWTc5QDlvD7t0,r&b,hip pop,0.554,0.498,9.0,-8.866,1.0,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067.0,,2019.0
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,84.0,1J2BrRxtQjVUa7X9Ne99xD,If I Can't Have You,2019-05-03,Hip Pop 2019,3tmx4p5RGlOV1AapXOt1Ze,r&b,hip pop,0.692,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.864,123.911,190800.0,,2019.0
2kJwzbxV2ppxnQoYw4GLBZ,If The World Was Ending (feat. Julia Michaels),JP Saxe,88.0,7BrlhEO8dHiNmU8A1Ep9RZ,If The World Was Ending (feat. Julia Michaels),2019-10-17,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.464,0.473,1.0,-10.086,1.0,0.129,0.866,0.0,0.109,0.604,75.801,208687.0,,2019.0
58q2HKrzhC3ozto2nDdN4z,I Like It,Cardi B,84.0,4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,2018-04-06,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,253390.0,,2018.0
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up,Mabel,85.0,0syM7OUAhV7S6XmOa4nLUZ,Ivy To Roses (Mixtape),2019-01-18,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.674,0.881,9.0,-2.853,1.0,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480.0,,2019.0
5a6pdCHlWS2ekOOQ70QnAr,July,Noah Cyrus,88.0,2YQptVBjUJeIOBavD1AyXg,July,2019-07-31,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.708,0.186,9.0,-8.953,0.0,0.0422,0.868,0.0,0.0779,0.321,72.541,156107.0,,2019.0
5Gu0PDLN4YJeW75PpBSg9p,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,81.0,3ggBBGRhkDVAu7pQRXRPXO,"Let Me Go (with Alesso, Florida Georgia Line & watt)",2017-09-08,Today's Hits (Clean),7ENISpOJhocpMJVcGb0qcT,r&b,hip pop,0.663,0.708,8.0,-4.154,1.0,0.0473,0.0337,0.0,0.0841,0.742,103.073,174800.0,,2017.0
4yI3HpbSFSgFZtJP2kDe5m,Look At Her Now,Selena Gomez,86.0,4O04QLiB0lGHQlygXxiMuX,Look At Her Now,2019-10-24,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.563,0.564,10.0,-7.906,0.0,0.271,0.114,0.0254,0.304,0.55,154.355,162596.0,,2019.0
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,Sheck Wes,82.0,15Id9Jrqab8IwHFirdrrLp,MUDBOY,2018-10-05,Feeling Accomplished,37i9dQZF1DWTDafB3skWPN,r&b,hip pop,0.729,0.625,4.0,-5.266,1.0,0.0315,0.194,0.00986,0.248,0.261,146.034,183907.0,,2018.0
314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),BTS,83.0,0ZI6Q1QJSYdeEQPvKzX1XR,Make It Right (feat. Lauv),2019-10-18,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.584,0.685,7.0,-7.811,1.0,0.425,0.0304,0.0,0.189,0.345,97.551,226321.0,,2019.0
7hpJ9tATWb2vztlq99hERP,Maniac,Conan Gray,85.0,4x1U4pmSekLejbWCRI0SES,Maniac,2019-10-25,Pop Hits 2020,5TDtuKDbOhrfW7C58XnriZ,r&b,hip pop,0.623,0.647,8.0,-5.438,1.0,0.04,0.00122,0.0,0.354,0.522,107.987,185787.0,,2019.0
4GGSmoTmc5LClrowB4SmEw,Mind Is A Prison,Alec Benjamin,82.0,3oFteG1YXJg2LS6R7Ge2yB,Mind Is A Prison,2019-12-12,Fresh Essentials,4RFszTXlSMZFgpqIJS3754,r&b,hip pop,0.636,0.661,5.0,-5.217,0.0,0.05,0.527,0.0,0.18,0.694,151.148,162034.0,,2019.0
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,91.0,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,r&b,hip pop,0.857,0.621,9.0,-6.376,0.0,0.0824,0.148,0.0,0.0865,0.668,97.986,204467.0,,2019.0
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,85.0,7GEzhoTiqcPYkOprWQu581,One Kiss (with Dua Lipa),2018-04-06,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0,,2018.0
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,83.0,3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018-11-09,Hip pop,1Sc7bobknESH7SXQcnmoX5,r&b,hip pop,0.383,0.637,3.0,-6.993,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773.0,,2018.0
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,MEDUZA,88.0,0cqRGWD3uc5Lggpducn5nD,Piece Of Your Heart,2019-02-01,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,r&b,hip pop,0.677,0.744,10.0,-6.806,0.0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913.0,,2019.0
