track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,91.0,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,,2019.0
1aUGxXCz9QimNkKeiJtzZ7,105 F Remix,KEVVO,81.0,2801cwQRE2bAQ6pKTrI13w,105 F Remix,2019-09-12,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,0.9,0.754,5.0,-7.016,0.0,0.156,0.368,2.74e-06,0.286,0.741,100.045,464200.0,,2019.0
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,87.0,2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,Los Cangri,2hTs6GuPwhmg4ApNqxWXLE,latin,latin hip hop,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,,2018.0
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,81.0,6t5D6LEgHxqUVOxJItkzfb,All Your Fault: Pt. 2,2017-08-11,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.579,154.084,163870.0,,2017.0
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,85.0,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,,2018.0
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones and I,100.0,0UywfDKYlyiu1b38DRrzYD,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438.0,,2019.0
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,81.0,02sEJTj1sye1JaqxqpcSCp,Encore,2016-08-05,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947.0,,2016.0
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,88.0,33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,,2017.0
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,Lil Uzi Vert,91.0,4uTOUYhLrGRKkfxfPKTkuy,Futsal Shuffle 2020,2019-12-12,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.881,0.457,7.0,-8.191,0.0,0.156,0.0327,0.0,0.231,0.296,136.97,198913.0,,2019.0
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,89.0,1k1HuvFs562Z3CCiSYhtc1,Good as Hell (feat. Ariana Grande) [Remix],2019-10-25,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.668,0.892,5.0,-3.001,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,159011.0,,2019.0
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,89.0,78EicdHZr5XBWD7llEZ1Jh,Happier,2018-08-17,School Dance 2019 (Squeaky Clean),0SqaMfNsngZCpPw0UuelA7,latin,latin hip hop,0.687,0.792,5.0,-2.749,1.0,0.0452,0.191,0.0,0.167,0.671,100.015,214290.0,,2018.0
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,88.0,3y4AaloFccKNLQcZNS9L8c,Heavy Is The Head,2019-12-13,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.817,0.781,7.0,-4.178,0.0,0.112,0.00838,5.21e-06,0.123,0.359,104.0,216707.0,,2019.0
5bvnqVuq7UFl0txSlHpsfS,Loyal (feat. Drake),PARTYNEXTDOOR,84.0,1U1uqmoe8hdbqZWRqd23li,Loyal (feat. Drake),2019-11-22,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.866,0.53,0.0,-6.347,0.0,0.0495,0.517,0.00159,0.0946,0.203,104.952,197973.0,,2019.0
1iSqfoUFnQwV0QW1EfUit8,Suicidal,YNW Melly,90.0,5xq6RMHNIBA73qld03dR6V,Melly vs. Melvin,2019-11-22,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.736,0.369,9.0,-9.682,0.0,0.0688,0.334,0.0,0.126,0.235,140.005,222997.0,,2019.0
3VyjsVV24RmBIbWJAeUJNu,No Idea,Don Toliver,92.0,1jAxVdQ2FFtbHu6kLNM0au,No Idea,2019-05-29,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.656,0.614,6.0,-4.973,0.0,0.102,0.558,0.000862,0.215,0.35,128.038,153750.0,,2019.0
1rqqCSm0Qe4I9rUvWncaom,High Hopes,Panic! At The Disco,86.0,6ApYSpXF8GxZAgBTHDzYge,Pray for the Wicked,2018-06-22,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.579,0.904,5.0,-2.729,1.0,0.0618,0.193,0.0,0.064,0.681,82.014,190947.0,,2018.0
696DnlkuDOXcMAnKlTgXXK,ROXANNE,Arizona Zervas,99.0,6HJDrXs0hpebaRFKA1sF90,ROXANNE,2019-10-10,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.621,0.601,6.0,-5.616,0.0,0.148,0.0522,0.0,0.46,0.457,116.735,163636.0,,2019.0
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd,84.0,2ODvWsOgouMbaA5xf0RkJe,Starboy,2016-11-25,Today's Hits 2000-Present,6a66cg3HcsjYkisYyQcov6,latin,latin hip hop,0.678,0.588,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.137,0.486,186.005,230453.0,,2016.0
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,87.0,7CdLU3GgPy1PH5FVsrPlyA,Sweet but Psycho,2018-08-17,Global Top 50 | 2020 Hits,1KNl4AYfgZtOVm9KHkhPTF,latin,latin hip hop,0.719,0.704,1.0,-4.724,1.0,0.0476,0.0691,0.0,0.166,0.628,133.002,187436.0,,2018.0
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83.0,0ZHyvPke0EcVt6rYA8Ins3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,Latest Latin American Hits 2020,51LvliKED7oZNJR8XCiPip,latin,latin hip hop,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,,2018.0
