track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
5Cbo7oz78gqkzV3EAM63VA,+,Aitana,81.0,6zardvJflEyoRedCUCBUw9,+,2019-12-17,Latin Pop VIP,37i9dQZF1DX1QnNyJOBQBv,latin,latin pop,0.561,0.666,8.0,-4.243,1.0,0.0322,0.106,0.0,0.123,0.675,160.019,219367.0,,2019.0
7KbF6AdprOXEEHlsq11Z6d,11 PM,Maluma,86.0,3YIUNL7qFE8NP3X3zaYSND,11:11,2019-05-17,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.777,0.712,10.0,-4.84,1.0,0.277,0.217,0.0,0.091,0.68,95.692,175733.0,,2019.0
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,90.0,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,,2019.0
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,87.0,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,,2018.0
3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Tainy,90.0,7nqA49hzXJWPH4cnM8nk6x,Adicto (with Anuel AA & Ozuna),2019-08-22,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.734,0.836,10.0,-4.803,0.0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,270741.0,,2019.0
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,91.0,5SL9nXZYZZl68bHwaM8uLa,Adore You,2019-12-06,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,,2019.0
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,85.0,700MviIgFKNTldTXmOAFOr,"Alone, Pt. II",2019-12-27,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.67,0.668,3.0,-4.306,0.0,0.0422,0.536,0.0,0.133,0.608,88.033,179053.0,,2019.0
1VJwtWR6z7SpZRwipI12be,Candy,Doja Cat,85.0,54tInqO543zy0Y5F2VsUQI,Amala,2018-03-30,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.689,0.516,8.0,-5.857,1.0,0.0444,0.513,0.0,0.163,0.209,124.876,190920.0,,2018.0
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,91.0,3Cse4lihKX7ww99QnZGQAh,Ayy Macarena,2019-11-13,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,4JkkvMpVl4lSioqQjeAL0q,latin,latin pop,0.816,0.63,2.0,-5.568,1.0,0.226,0.133,0.0,0.0692,0.715,96.493,131607.0,,2019.0
4Clmg1g8n2yBYG13Z1oSdG,Baila Conmigo (feat. Kelly Ruiz),Dayvi,83.0,68hy2xnNgeo0dO0YOm4Th7,Baila Conmigo (feat. Kelly Ruiz),2018-12-28,Exitos 2020 - Latin Billboard,0k2IDDkcVyIpIgE6d1woDM,latin,latin pop,0.745,0.972,7.0,-3.506,1.0,0.0774,0.00903,0.465,0.297,0.556,128.031,189818.0,,2018.0
