track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,89.0,1k1HuvFs562Z3CCiSYhtc1,Good as Hell (feat. Ariana Grande) [Remix],2019-10-25,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.668,0.892,5.0,-3.001,0.0,0.0645,0.298,0.0,0.735,0.478,95.927,159011.0,,2019.0
7e2lRhdJQ6vH4EwOrIMb4g,Foreign Fields,Kacy Hill,0.0,4cL398EQIoZAKrTsNu3kSM,Foreign Fields,2015-08-28,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.386,0.38,6.0,-11.475,1.0,0.0999,0.00977,0.283,0.566,0.123,113.466,221947.0,,2015.0
3E1DLz9jCFpvtQp9u9kKnH,Man With The Bag,Jessie J,54.0,12VFW6qpEFjwKbMphXZpQG,Man With The Bag,2015-11-08,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.637,0.707,7.0,-3.534,1.0,0.0906,0.596,0.0,0.363,0.72,141.242,161973.0,,2015.0
3QShCUNhvDo21w3XeUE2qb,This Ain't Love,Joss Stone,33.0,21XyRfXl6Ol9wxLsoJ5H3r,Water for Your Soul,2015-07-31,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.797,0.648,4.0,-6.784,0.0,0.138,0.0131,0.000289,0.106,0.539,89.011,268053.0,,2015.0
2JTwSmlb8d7lPpvaRpCd3G,The Light,Jordan Rakei,24.0,7utu145eDDn9xMQ0jUCF7k,The Light,2015-12-11,Neo Soul / Modern Jazz / Smooth Hiphop,07SNJ4MwYba9wwmzrbjmYi,r&b,neo soul,0.794,0.453,6.0,-12.402,1.0,0.104,0.00831,0.000104,0.166,0.525,99.006,240606.0,,2015.0
0OE8haqI2h09QnotCfmI96,Nightgowns,Tom Misch,30.0,0FRzeA6Fm2qkKRZDin7edH,Nightgowns,2015-08-21,NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul,0.847,0.552,10.0,-8.85,0.0,0.433,0.53,0.000235,0.15,0.337,91.874,166164.0,,2015.0
0hMmCpvgtjF8ZUsbl2x0Cg,The Truth,Moonchild,40.0,0AQrE3uapBP0BYM0sIRQhg,Please Rewind,2015-11-20,Neo Soul / Modern Jazz / Smooth Hiphop,07SNJ4MwYba9wwmzrbjmYi,r&b,neo soul,0.789,0.423,1.0,-10.736,0.0,0.0819,0.646,0.00814,0.0934,0.249,76.002,219320.0,,2015.0
6r6C5X5flyxMfLDXcv9oVn,Superstitious - Chris McClenney Remix,MKTO,29.0,3o4z83EJOHtdpuOkpcEo7C,Superstitious (Chris McClenney Remix),2016-05-27,Groovy // Funky // Neo-Soul,0JmBB9HfrzDiZoPVRdv8ns,r&b,neo soul,0.778,0.496,8.0,-8.516,1.0,0.103,0.0725,2.8e-05,0.209,0.374,116.983,203453.0,,2016.0
2TD9wVSR6dKi7R0arHRFWT,The Sideshow (feat. Ernie Fresh),DJ Shadow,0.0,2OW3iDsmS98lTqgta5Zv0O,The Mountain Will Fall,2016-06-24,Groovy // Funky // Neo-Soul,0JmBB9HfrzDiZoPVRdv8ns,r&b,neo soul,0.82,0.809,7.0,-8.283,1.0,0.196,0.0275,0.137,0.308,0.284,101.015,208308.0,,2016.0
1AlcpxsgzYwAJ1SfMPPWU4,Redbone,Childish Gambino,5.0,6yHxhbYjUfv2xTOMI6RFFL,Redbone,2016-11-17,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.743,0.372,1.0,-10.459,1.0,0.132,0.194,0.014,0.12,0.575,160.07,326880.0,,2016.0
6Kt4ZcgT2vCUq7QezTTcES,All Around You,Sturgill Simpson,50.0,5I3UdCxtIh6hkQ7rMPUvA4,A Sailor's Guide to Earth,2016-04-15,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.312,0.562,9.0,-6.495,1.0,0.0298,0.123,0.173,0.136,0.514,185.725,215693.0,,2016.0
1vHYWQyOTfdh6tGRLq3Twr,Good Feeling - MXXWLL Remix,Jodie Abacus,29.0,0BKE8hHEv3Z2WGqSlTHLpP,For Real Life And Not Pretend - The Remixes,2016-05-06,Groovy // Funky // Neo-Soul,0JmBB9HfrzDiZoPVRdv8ns,r&b,neo soul,0.741,0.42,6.0,-7.555,0.0,0.213,0.27,1.29e-05,0.0837,0.341,109.667,194601.0,,2016.0
5JdNrqdRbwYoZeuErHRf1J,Holy,Jamila Woods,49.0,2ha1TUv0o6VnQddOci7GIb,HEAVN,2017-08-15,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.534,0.404,9.0,-8.141,1.0,0.0758,0.793,3.23e-06,0.18,0.654,171.761,192401.0,,2017.0
3u6A33KtGqfk2JYm0YmiYu,Tepid Soul,Poppy Ajudha,34.0,1nzR2fUzdV48DupcY3nEsH,Tepid Soul,2017-11-24,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.575,0.497,11.0,-8.592,0.0,0.0449,0.0943,2.98e-05,0.0948,0.423,93.625,227510.0,,2017.0
4mbOTHs6heygME9uDHg0mf,Elusive,blackwave.,53.0,24aBKIQMXzdMYZkWSGFLTK,Elusive,2017-10-09,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.567,0.675,5.0,-6.699,0.0,0.219,0.335,0.0,0.247,0.651,167.737,222200.0,,2017.0
46T4UTffeX2GrfqAU1hGjZ,90 Degrees,Yazmin Lacey,46.0,5EQ1ea2Hs4SNRwmnRBp2cm,90 Degrees,2018-03-16,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.633,0.493,1.0,-9.607,1.0,0.0509,0.164,0.00781,0.0591,0.469,147.759,255025.0,,2018.0
4x17P3F67cUBat3J1YRgNh,Come Over - Radio Edit,The Internet,32.0,6upYXH08wD6A2KIEjWCVel,Come Over,2018-05-30,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.764,0.64,8.0,-7.424,1.0,0.0388,0.0507,0.434,0.097,0.701,92.0,219440.0,,2018.0
7dQeS4ErW1iWvnKdrtKwKr,Around Me,Brent Faiyaz,64.0,03nFfkhtHqQZZqprep3G6r,Lost,2018-10-19,Neo Soul 2019,44d7ppo4cggZJmzH2WOhAc,r&b,neo soul,0.587,0.177,1.0,-12.522,1.0,0.0647,0.574,5.54e-05,0.097,0.125,75.039,183022.0,,2018.0
1ZU50JsFvdgThm29i4mRTU,She’s Gone,Minx,6.0,1u1U0RLO5RkgZrGSkAvalX,She’s Gone,2018-07-16,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.853,0.51,2.0,-9.885,0.0,0.264,0.294,0.011,0.286,0.424,137.883,139176.0,,2018.0
68dd9CEzAUc4zeukKzMJP5,Broken (feat. Jessie Reyez),THEY.,59.0,6euj9yED3uo2ZN7s1Km4W5,Broken (feat. Jessie Reyez),2018-11-01,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.637,0.615,9.0,-5.395,1.0,0.167,0.685,8.51e-06,0.462,0.517,132.312,135480.0,,2018.0
5m8pL2TqjTvujYcFC2oiNX,Road Less Traveled,Fatai,29.0,7AtaWmFuoCbjMdZyN3ooOE,Road Less Traveled,2019-03-14,NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul,0.817,0.312,7.0,-6.649,1.0,0.206,0.419,2.91e-06,0.0556,0.456,112.11,258750.0,,2019.0
2MLkfQ81R1jLgPT7zia03n,Time,Isaiah Sharkey,28.0,3C1N2tQeHHULjHI2e9rRTP,Love Is The Key (The Cancerian Theme),2019-06-21,NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul,0.649,0.459,9.0,-8.767,1.0,0.369,0.164,3.49e-05,0.0426,0.352,127.407,323909.0,,2019.0
7mvma3mO5hSyhVbJDXxtFz,Grateful,Mahalia,63.0,2PLznXIZ3amppNBiPoMFvs,Grateful,2019-04-26,Neo-Soul,1eqVgsNjaX6mxDPoefhocT,r&b,neo soul,0.655,0.351,7.0,-7.628,0.0,0.153,0.73,0.000176,0.291,0.316,141.689,185992.0,,2019.0
2HtpC9dJ6jOLa4OMN0nnfj,What Am I to Do?,Ezra Collective,52.0,2e4B1dudmjNKztr1qBEA7N,What Am I to Do?,2019-04-03,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.81,0.705,8.0,-8.041,0.0,0.239,0.392,0.115,0.109,0.681,96.696,244733.0,,2019.0
0Dcv1cRaS8sEUYzjHNhHBr,SOS,McClenney,49.0,3NLjnYRxFNzByIaoCSugQl,SOS,2019-02-19,Neo Soul 2019,44d7ppo4cggZJmzH2WOhAc,r&b,neo soul,0.7,0.316,4.0,-10.26,1.0,0.0384,0.562,0.00429,0.116,0.55,72.936,187242.0,,2019.0
6j77u0sqUdzGxOzfLpohTz,Lately,Celeste,52.0,1LdtvZ8UvTFsdLGZmITgko,Lately - EP,2019-03-22,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.672,0.279,7.0,-9.237,0.0,0.0421,0.402,0.000125,0.0946,0.478,133.625,251886.0,,2019.0
2EKabowHBT6GRBK1mWJ5LT,Lovesick,Jerome Thomas,42.0,7iCCQN1Et5r0o8BNvYL8MM,Mood Swings (Volume One),2019-02-19,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.557,0.369,11.0,-11.368,0.0,0.246,0.633,0.0509,0.0916,0.397,76.94,228070.0,,2019.0
1hES47PrbU8GPTI5A9lsr0,I Never Loved a Man (The Way I Love You),Aretha Franklin,54.0,5WndWfzGwCkHzAbQXVkg2V,I Never Loved a Man the Way I Love You,1967-03-10,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.657,0.371,5.0,-9.186,1.0,0.0359,0.367,0.0459,0.157,0.709,134.867,171773.0,,1967.0
0DCzMvkONMvWDiOtVzyRUX,Dear Breeze,オメガトライブ,45.0,1ZluSoV6IVEiQxEfrnIYBB,Another Summer,1985-07-01,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.635,0.61,8.0,-6.73,1.0,0.0257,0.413,0.00455,0.26,0.742,91.211,241360.0,,1985.0
1jwFU6N6giBRr2NON3fGiM,(I'll Remember) In The Still Of The Night,The Five Satins,48.0,0mtLFaQ3hL371jsNraRo9g,Dirty Dancing (Original Motion Picture Soundtrack),1987-09-24,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.503,0.211,5.0,-18.197,1.0,0.0324,0.878,0.0,0.0829,0.296,71.283,185600.0,,1987.0
64F0vO85TOINI2wItykfU0,Super Chance,1986 Omega Tribe,37.0,2D0ZslksGmdeDPrMXzZ0XX,Crystal Night,1987-02-04,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.709,0.557,6.0,-12.285,0.0,0.0292,0.476,8.52e-06,0.132,0.804,132.974,275400.0,,1987.0
4TgkPULl2POFQoGOGZ2KgX,Sexy Music [Bonus Track] (Remastered 2013),Wink,31.0,691vw3eCmQ4Ow64vvZB6xU,Velvet (Remastered 2013),1990-07-11,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.637,0.934,4.0,-6.3,0.0,0.0559,0.135,2.27e-05,0.266,0.519,125.018,220867.0,,1990.0
73qkrdCXAncDggNZqWKTo7,I've Been Loving You Too Long,Otis Redding,37.0,28Pt7Q4ikXNPOEbtGnKlFA,The Very Best of Otis Redding,1992-11-06,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.498,0.246,9.0,-13.41,1.0,0.0342,0.727,0.000374,0.0781,0.152,151.255,176880.0,,1992.0
4eX7melvFT67ywDZB7kw0V,I Used to Love Him,Ms. Lauryn Hill,0.0,1p683zox7SgWrBxcbb2yXd,The Miseducation Of,1998-08-25,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.486,0.797,9.0,-7.632,0.0,0.231,0.06,0.0,0.331,0.745,87.445,339867.0,,1998.0
4yFFSucK3BVP1Wp7MQ6c7t,Just Can't Get Over You,Kenny Lattimore,26.0,4KX3bkP8l9X04DmkbDeazR,From The Soul Of Man,1998-10-20,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.738,0.295,10.0,-8.699,0.0,0.0588,0.135,0.0241,0.133,0.539,79.939,322333.0,,1998.0
19asXa48FNoDzO8PaQm9MN,Softest Place On Earth,Xscape,51.0,2vURwAnzdxnAlocCPmLG95,Traces Of My Lipstick,1998-05-01,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.773,0.309,7.0,-8.5,0.0,0.0339,0.415,0.00014,0.111,0.42,128.105,256720.0,,1998.0
7DBIvPoaC3Wv69Qe5II7b3,Sleigh Ride,TLC,45.0,4fzsNfn7gbyM2CiDF5vigi,A Laface Family Christmas,1993-11-08,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.772,0.766,5.0,-8.96,0.0,0.0533,0.0252,0.011,0.2,0.759,96.581,223573.0,,1993.0
2R4gp8sppwatyDq48Xsu9q,Outside Your Door,Meshell Ndegeocello,36.0,3K1ZZP9cAwUGxZHYrUv7Qe,Plantation Lullabies,1993-10-15,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.767,0.328,11.0,-14.023,0.0,0.0375,0.0897,0.000723,0.0644,0.507,137.16,308187.0,,1993.0
7M4CRFWgCuqYOuh5Kz1hm5,Lovin' You,Tony! Toni! Toné!,36.0,3I4ObAZqVRcENUqxwv10If,House Of Music,1996-01-01,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.618,0.738,9.0,-7.908,0.0,0.0695,0.0933,3.51e-06,0.344,0.741,82.29,353533.0,,1996.0
5qR3pYQIC10S7aD2YBjgui,What Kind Of Man Would I Be,Mint Condition,51.0,7a19lFps8uDiFZr1bhJmmY,Definition Of A Band,1996-01-01,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.651,0.501,0.0,-8.914,0.0,0.0312,0.314,0.0,0.141,0.373,109.896,264600.0,,1996.0
14VwBAL1qSlG4ovOSYUQF4,Spend The Night,Rahsaan Patterson,43.0,1uMPGRwlgCjpIxjGTjg93c,Rahsaan Patterson,1997-01-01,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.683,0.546,2.0,-9.086,0.0,0.0224,0.0388,0.000169,0.0633,0.735,90.018,293400.0,,1997.0
3VZMAx8GdrO73kvTZDD8rU,If You Love Me,Mint Condition,39.0,3U15KXslDosaqBwDKTdX0X,Life's Aquarium,1999-10-22,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.442,0.585,6.0,-6.012,1.0,0.0305,0.606,5.85e-05,0.185,0.233,118.736,385720.0,,1999.0
5Ru9OjtEw5htfnVKpYsIcv,UMI Says,Mos Def,55.0,5gK2l2LgWY0BA4p9uy27z6,Black On Both Sides,1999-10-12,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.72,0.67,2.0,-10.224,1.0,0.132,0.305,0.0,0.0928,0.566,121.342,305280.0,,1999.0
0atAqF01mqwYOOfXVHu51F,Fortunate,Maxwell,50.0,5h8mQU9rnmFA5S8PO7gCWT,Life,1999-01-01,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.738,0.357,10.0,-9.081,0.0,0.0593,0.116,1.51e-06,0.26,0.34,126.143,299200.0,,1999.0
5LIwaG8Wl9LfExcmiRQm7J,Send It On,D'Angelo,53.0,2lO9yuuIDgBpSJzxTh3ai8,Voodoo,2000-01-01,I Love My Neo-Soul,37i9dQZF1DX44dZ4p5QLf4,r&b,neo soul,0.789,0.258,5.0,-11.759,1.0,0.104,0.168,0.00714,0.326,0.335,127.491,356493.0,,2000.0
0m3FlmzEj0TffSexx6rWHh,What Child Is This,Kelly Price,20.0,5Vt6f0rFqEPxym3Y06hGTd,One Family,2001-01-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.668,0.525,8.0,-9.081,1.0,0.218,0.623,0.000757,0.152,0.586,150.19,332042.0,,2001.0
4oiAlcisfimXQc1wyAtX9a,Video,India.Arie,60.0,6ApdnTHD5zXzmZqxf0TA9Z,Acoustic Soul,2001-01-01,Soul Coffee (The Best Neo-Soul Mixtape ever),16iNEskDatG5KbDV16F6LR,r&b,neo soul,0.652,0.604,9.0,-8.766,0.0,0.227,0.111,1.01e-05,0.0409,0.675,170.003,249960.0,,2001.0
4y4ilhWm4BcoWs7o5VsI3R,Still Ray,Raphael Saadiq,50.0,2Dfk3iSj303wZD28aXq5ov,Instant Vintage,2002-01-01,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.827,0.452,10.0,-8.354,0.0,0.0355,0.0437,0.000184,0.0913,0.922,83.817,183293.0,,2002.0
6LMeLQ9e8T5YVNFnwbliOI,Don't You Forget It,Glenn Lewis,12.0,1MtpXQazr3qJZ9dcIhYAjU,Off The Hook (NOW! Compilation),2002-05-21,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.72,0.622,4.0,-4.521,1.0,0.0699,0.0545,0.0,0.0559,0.313,88.995,250467.0,,2002.0
0g42s0K0OuiUzzRM1qyVRt,Beyond the Stars,Jeff Bradshaw,18.0,5w5zqlW4WslvxXENLRXWVM,Bone Deep,2003-10-14,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.402,0.219,1.0,-19.019,1.0,0.0446,0.661,0.248,0.079,0.0673,91.885,324293.0,,2003.0
2fSIF8CJhoc9CJhF9vJDXp,Jolene,Ray LaMontagne,65.0,2DQHgaOMVOs2OKLaksiMx9,Trouble,2004-08-15,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.587,0.142,7.0,-15.196,1.0,0.0329,0.862,0.000162,0.0953,0.288,119.752,250867.0,,2004.0
78eVUq3eoVxV0Mq1gIPipN,Jingle Bells,Natalie Cole,25.0,3i30RjNg6NMfzyfEu1klCn,R&B Christmas Volume 2,2004-12-07,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.529,0.518,5.0,-8.332,1.0,0.134,0.534,0.0,0.276,0.776,168.735,214440.0,,2004.0
69dDr3w8IIcOGKwlW5XntT,"Keep It Loose, Keep It Tight",Amos Lee,53.0,0hPXaSKyujqCej452raazD,Amos Lee,2005-01-01,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.582,0.232,4.0,-11.693,1.0,0.0451,0.876,1.32e-06,0.107,0.238,131.599,188080.0,,2005.0
2QG7VdagyaOCbfWn39xzAm,Jealous Guy,Donny Hathaway,50.0,3z01t29pKi7HTaN5QF2KQo,Zealous Records Presents: Soul Sides Volume One,2005-01-01,Sexy Soul 2020,5EMARioe9z9eKOeWIAC2JW,r&b,neo soul,0.534,0.411,0.0,-8.119,1.0,0.0451,0.722,1.64e-06,0.64,0.676,127.372,188160.0,,2005.0
204PMLBFTDVUHjy44ODWjv,I'm So Glad,Jamie Jones,0.0,4NUc05FSKWS2bZuy70jjCB,Jamie Jones,2005-06-28,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.709,0.568,6.0,-8.045,1.0,0.0903,0.397,0.0,0.117,0.581,119.013,225560.0,,2005.0
3qLpCWS4DBUtRG7rKRrwGZ,Happy Holiday,Faith Evans,37.0,4OlCa1kTyE2DBcU4ZfBQhX,A Faithful Christmas,2005-01-01,Christmas Soul,6FZYc2BvF7tColxO8PBShV,r&b,neo soul,0.303,0.582,1.0,-7.612,1.0,0.0474,0.131,0.0,0.489,0.432,74.814,319147.0,,2005.0
7KXUDNOq0MdrZ7zuTVWCIj,You Don't Know,Antonio Neal,4.0,6u7SF9ff0oTzqZWHErYZjs,Days Of My Life,2005-01-01,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.783,0.651,6.0,-4.971,0.0,0.0451,0.0272,0.0792,0.36,0.859,101.009,249920.0,,2005.0
5u8yoJzasvOhdNDhsBtoje,More,Syleena Johnson,18.0,7dgjELi57uEYSZQFurxyX8,Chapter 3: The Flesh,2005-09-26,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.66,0.715,5.0,-5.218,0.0,0.14,0.284,0.0,0.0563,0.668,95.012,234227.0,,2005.0
