track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
51H2y6YrNNXcy3dfc3qSbA,When Doves Cry,Prince,70.0,7nXJ5k4XgRj5OLg9m8V3zc,Purple Rain,1984-06-25,80s-90s R&B / New Jack Swing / Funk / Dance / Soul,3X4HmijjKdwwLonCrOOEAZ,r&b,new jack swing,0.729,0.989,9.0,-4.613,0.0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906.0,,1984.0
1WtkrKWpfFx75erK1VqtQh,Tender Love,Force M.D.'s,52.0,6A6lqTSqNEQwanoGsw8sPK,Chillin',1985-01-01,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.34,0.336,8.0,-7.288,1.0,0.0289,0.765,0.000114,0.126,0.0932,142.631,234053.0,,1985.0
3Cn1aiqSnvaj3FF4eFT80W,Someone,El DeBarge,42.0,4WtFh6jQ53Pn0PdkUhWgYK,El DeBarge,1986-01-01,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.61,0.411,1.0,-13.247,0.0,0.0427,0.314,0.000186,0.0758,0.59,85.099,283400.0,,1986.0
14McuZa6Yi5pl1Ga8cA8gq,Long Time Coming,Ready For The World,14.0,2nnJjqsawMA91jnrjPyA3k,Long Time Coming,1986-09-30,Kenny B's Ultimate New Jack Swing Mix,7bdhfXlbfml9CuNn5c7372,r&b,new jack swing,0.694,0.67,11.0,-12.983,0.0,0.0544,0.0443,1.08e-05,0.0603,0.769,123.465,265307.0,,1986.0
3bceL3NJmM8sKwr5dyrKAz,Superwoman,Karyn White,54.0,2Ck4KnfNbVPQqcRkmsDt6F,Karyn White,1988-01-01,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.623,0.722,8.0,-5.612,1.0,0.0321,0.322,0.0,0.159,0.653,138.357,347453.0,,1988.0
5s8CqJcvebUaExSWvZVWQm,Mamacita,Troop,26.0,0wcEh8OKRXVsQWW3LpI4vq,Troop,1988-05-24,New Jack Swing | The Best 👌,3m4z6komWDtKly3Q1FvFmN,r&b,new jack swing,0.756,0.57,10.0,-13.267,0.0,0.0973,0.0532,0.0227,0.0559,0.767,97.92,337000.0,,1988.0
46xnw9xZ0gKsGqaKg6jAzu,Crucial - Dance Remix,New Edition,0.0,69mYQSnIPL97j3c1L1iwEo,Heart Break (Expanded),1988-06-20,New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing,0.737,0.791,10.0,-10.02,0.0,0.0824,0.0446,0.0265,0.24,0.772,104.259,493500.0,,1988.0
18bWoys4FQwEp9ojZpbH4j,Just Coolin' (feat. Heavy D.),Levert,32.0,5fESCHvkdY25i9ee7P6OOK,Just Coolin',1988-10-18,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.854,0.603,11.0,-14.513,0.0,0.234,0.0961,0.000309,0.335,0.847,100.952,297053.0,,1988.0
3NNRDMmQzPjaUWNyAJb3bB,Electric Chair,Prince,32.0,2FwzHgJ4XaPhC19Y0uL6SK,Batman,1989-06-20,New Jack Swing | The Best 👌,3m4z6komWDtKly3Q1FvFmN,r&b,new jack swing,0.549,0.744,0.0,-11.395,1.0,0.0758,0.0787,0.04,0.0892,0.823,202.461,248867.0,,1989.0
4D13ulAZI1V7PG7Zg1Ar7r,Whip Appeal - 12-inch Version,Babyface,47.0,51fAXJ5bMn7DRSunXQ6PMb,Tender Lover,1989-07-07,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.454,0.548,11.0,-7.421,0.0,0.0476,0.309,0.0,0.076,0.598,73.011,349840.0,,1989.0
2EjnH55mnsEjYMoZ9Q6rSe,"Promises, Promises",Christopher Williams,32.0,4dLgkv57BXdrsFVTDY7eOl,Adventures In Paradise,1989-01-01,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.632,0.655,9.0,-10.853,1.0,0.0657,0.297,0.0,0.103,0.535,154.004,320027.0,,1989.0
6OmknRIYvZmABONKgva2GK,Every Little Step - Remix,Bobby Brown,32.0,0RVHA8KCQCJG17pj7mNMdX,Dance...Ya Know It!,1989-10-26,New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing,0.676,0.758,7.0,-10.397,1.0,0.069,0.000218,0.000754,0.0291,0.679,102.727,281533.0,,1989.0
3Yxmpx64AdWAzG3qAD4Dty,It Takes Two,Rob Base & DJ EZ Rock,56.0,6a6h1DRImqxSsXfn3bk6XU,Profilin': The Hits,1990-01-01,New Jack Swing,4nX6BscFtR1CozSCfv2cuR,r&b,new jack swing,0.767,0.776,2.0,-8.915,1.0,0.144,0.0143,0.0,0.326,0.608,111.686,301893.0,,1990.0
6njPVRfWswIE7oVyI6Fu3N,"Grand Puba, Positive and L.G.",Brand Nubian,18.0,2R3q5gMNeQpSNRnAYay6Sm,One for All,1990-11-30,Kenny B's Ultimate New Jack Swing Mix,7bdhfXlbfml9CuNn5c7372,r&b,new jack swing,0.959,0.694,0.0,-11.473,1.0,0.262,0.0385,0.0,0.0687,0.628,107.375,271307.0,,1990.0
4CFo0zVQmOuEekCe8dqU01,Treat Them Like They Want To Be Treated - Regular Version,Father MC,31.0,5OM9YWQTTpCI3meTYaf8ov,Treat Them Like They Want To Be Treated (Remixes),1990-01-01,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.71,0.72,1.0,-10.969,0.0,0.249,0.0717,0.0,0.12,0.635,106.888,347947.0,,1990.0
1B75hgRqe7A4fwee3g3Wmu,U Can't Touch This,MC Hammer,71.0,4r1WecJyt5FOhglysp9zhN,Please Hammer Don't Hurt 'Em,1990-02-20,1987-1997 OLD SKOOL JAMZ,0WicovBbxeB0nvQC6IfuaT,r&b,new jack swing,0.867,0.517,11.0,-13.222,0.0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257360.0,,1990.0
3efy0g1He1zJ4B94VMbbBo,Baby I'm Ready,Levert,53.0,65gxRNu9BBpc0M1KydPtta,Rope A Dope Style,1990-10-16,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.781,0.317,5.0,-9.697,1.0,0.0405,0.106,0.0,0.175,0.43,121.844,322200.0,,1990.0
0PRgPkCr1xGzXcVbHb8njU,Innocent,The Whispers,22.0,3m6teYhTYkU2emsaNzaQOC,More Of The Night,1990-01-01,New Jack Swing | The Best 👌,3m4z6komWDtKly3Q1FvFmN,r&b,new jack swing,0.751,0.601,1.0,-8.206,1.0,0.044,0.00823,0.00329,0.0651,0.772,104.414,316467.0,,1990.0
15HUMkMOJm48NL1GQURjM7,Motownphilly - Original Version,Boyz II Men,0.0,3riDn321q9TNeS1YOSzkv7,Cooleyhighharmony,1991-04-30,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.751,0.849,2.0,-9.703,1.0,0.0636,0.014,2.03e-05,0.158,0.776,114.141,235267.0,,1991.0
7sXhrKHe8DyTzxDSAGq9UW,3-2-1 Pump,Redhead Kingpin,0.0,2mPSBexXlwWbk1pnPKyL3W,The Album With No Name,1991-01-01,90's NEW JACK SWING,0dmInkymNnOTWvEFamSNzb,r&b,new jack swing,0.868,0.699,11.0,-11.614,0.0,0.0792,0.0241,6.3e-05,0.0606,0.514,127.15,265400.0,,1991.0
4jnFqNWeJCeCRHc4HCdxfd,Remember the Time,Michael Jackson,69.0,0oX4SealMgNXrvRDhqqOKg,Dangerous,1991-11-13,New Jack City,6RLvj5OnEuPzI1P02KwnzK,r&b,new jack swing,0.831,0.921,5.0,-2.383,0.0,0.0581,0.153,0.00213,0.305,0.794,108.002,239227.0,,1991.0
7mrXW08W9eOrP5jxKOzhZq,New Jack Swing,Wreckx-N-Effect,22.0,4y4qpoEoAVz098hapi6prZ,Rap Declares WAR,1992-01-01,CSR 103:9 (GTA: SA),4sr2xEhXQR5VuZ0LZX8TQ8,r&b,new jack swing,0.812,0.885,11.0,-5.495,1.0,0.0702,0.0098,0.000102,0.246,0.769,108.124,217853.0,,1992.0
3YqH26H4kyG3usFtOc8v4P,She's Got That Vibe,R. Kelly,44.0,0WkL3JulvpTfRsSJ7crh5S,Born Into The 90's,1992-01-13,Best of New Jack Swing,63Y9Sk7Twusm6ZNssHxKaa,r&b,new jack swing,0.801,0.693,1.0,-10.239,1.0,0.073,0.0504,0.0,0.168,0.742,113.137,274133.0,,1992.0
7tsRp7QKUBp6hc9bth0h7x,Don't Walk Away,Jade,61.0,2EwwOSHl7oOX1vyjQBx4Zc,Jade To The Max,1992-11-13,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.831,0.915,10.0,-7.501,0.0,0.128,0.147,0.00571,0.196,0.881,102.979,216373.0,,1992.0
2MYtYwqRutASW0oVTYPuEX,She's Playing Hard To Get,Hi-Five,42.0,1fAaBEaUkL23BjFTk0KN5P,Keep It Goin' On,1992-08-10,New Jack Swing | The Best 👌,3m4z6komWDtKly3Q1FvFmN,r&b,new jack swing,0.518,0.807,1.0,-6.68,1.0,0.057,0.00768,0.0,0.271,0.781,199.979,275160.0,,1992.0
3R97rNX7JnmshCWBwOSFet,My Lovin' (You're Never Gonna Get It),En Vogue,56.0,7d2qNq4zap02SoWdvr0caA,Funky Divas,1992-03-24,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.767,0.839,8.0,-5.519,1.0,0.0613,0.0318,9.31e-06,0.111,0.461,98.055,281613.0,,1992.0
7bQLDZ0sADheki5ic1n7Op,Tennessee,Arrested Development,0.0,5rqEvfMGCs5jsZL0iplOzF,"3 Years, 5 Months And 2 Days In The Life Of...",1992-03-24,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.816,0.653,1.0,-10.26,0.0,0.192,0.0263,1.02e-06,0.318,0.655,99.879,272707.0,,1992.0
4IJuJUFUJfuUuVMJEvvGhS,Anything - Old Skool Radio Version,SWV Featuring Wu-Tang Clan,37.0,0KhGBe7hOp9TR3uMzveMGz,The Remixes,1994-05-10,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.799,0.797,10.0,-8.121,0.0,0.0474,0.0295,2.38e-05,0.269,0.795,97.053,295600.0,,1994.0
43JSZNyRzLa3nD9W0hfD48,Nuttin' But Love,Heavy D & The Boyz,42.0,3WIm2cGDu6bRWAJDFhbgeK,Nuttin' But Love,1994-05-25,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.731,0.499,11.0,-13.619,0.0,0.374,0.0527,0.0015,0.0362,0.47,202.675,213733.0,,1994.0
2rkVoKVEMuct8SmEIGKzBw,Before I Let You Go,Blackstreet,57.0,26yshjRCAGf1mLJtfTrlsb,Blackstreet,1994-01-01,New Jack Swing/ R&B Hits: 1987 - 2002,4sji14lrB5bgcr51lPALYH,r&b,new jack swing,0.67,0.468,1.0,-6.725,0.0,0.0328,0.325,0.0,0.0516,0.486,140.069,299800.0,,1994.0
2e7mHNFlXCkFdKjJ3nsK9E,Doin' It,LL Cool J,44.0,1wknSyzdXstbYaLQeu11cg,Mr. Smith,1995-11-21,"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing,0.808,0.535,10.0,-11.47,0.0,0.206,0.381,0.0358,0.111,0.611,95.0,294000.0,,1995.0
6RQgvscK17WsaMj3N5RTer,Remember the Time,Michael Jackson,51.0,3OBhnTLrvkoEEETjFA3Qfk,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",1995-06-16,Best of New Jack Swing,63Y9Sk7Twusm6ZNssHxKaa,r&b,new jack swing,0.834,0.908,8.0,-3.404,1.0,0.0646,0.128,0.00381,0.181,0.801,107.931,239627.0,,1995.0
4NMtuxWfOPR6yNjAX0AWrR,Keep On Movin',Soul II Soul,41.0,5VxTLm2IZsDQn3r9eX1qfa,Club Classics Vol. One,1995-05-18,New Jack Swing,4nX6BscFtR1CozSCfv2cuR,r&b,new jack swing,0.678,0.47,6.0,-13.017,0.0,0.0594,0.0305,0.000283,0.0635,0.686,93.144,362600.0,,1995.0
0JCAezTC5IlK1a9o0YBEsD,Don't Take It Personal (Just One of Dem Days),Monica,55.0,71mPApAzW9HkbUGdYzMQHb,Miss Thang,1995-06-12,New Jack Swing - 90s R&B fused w Hip Hop,79xd4wnVuKZK4rJMsL2wPa,r&b,new jack swing,0.731,0.355,8.0,-12.741,1.0,0.0603,0.00864,5.14e-05,0.0579,0.529,175.72,258467.0,,1995.0
0ymLvEYKBKRlJbGwAZhOqg,I Like,Kut Klose,46.0,6ekKyPsmvoBnBxipuSPjqz,Surrender,1995-02-21,The Sound of New Jack Swing,0zn8nuASKC0PISqD9mxCSV,r&b,new jack swing,0.705,0.439,6.0,-10.246,1.0,0.0263,0.378,1.75e-05,0.0654,0.65,112.397,258893.0,,1995.0
