track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,91.0,3Cse4lihKX7ww99QnZGQAh,Ayy Macarena,2019-11-13,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.816,0.63,2.0,-5.568,1.0,0.226,0.133,0.0,0.0692,0.715,96.493,131607.0,,2019.0
47Bg6IrMed1GPbxRgwH2aC,Best Friend,Rex Orange County,81.0,51pSyGziPFv8ajzF7ilUAr,Best Friend,2017-01-25,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.575,0.714,6.0,-5.247,1.0,0.0596,0.395,0.0,0.115,0.32,144.982,262231.0,,2017.0
421eObjg0DTm2qajJl5OJm,Into the Unknown - Panic! At The Disco Version,Panic! At The Disco,82.0,4M07HWIlZr7zoXoxDHR5mz,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),2019-11-15,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.456,0.828,1.0,-6.225,1.0,0.077,0.0244,0.0,0.21,0.313,116.719,189132.0,,2019.0
3HVWdVOQ0ZA45FuZGSfvns,I Don't Care (with Justin Bieber),Ed Sheeran,90.0,5Nux7ozBJ5KJ02QYWwrneR,I Don't Care (with Justin Bieber),2019-05-10,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.798,0.675,6.0,-5.041,1.0,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947.0,,2019.0
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,84.0,1J2BrRxtQjVUa7X9Ne99xD,If I Can't Have You,2019-05-03,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.692,0.809,2.0,-4.198,1.0,0.0602,0.524,0.0,0.147,0.864,123.911,190800.0,,2019.0
2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,83.0,3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018-11-09,indie poptimism🕺🏻,6MQeEHHDs6HQkN5Dlj3oKo,pop,indie poptimism,0.383,0.637,3.0,-6.993,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.913,260773.0,,2018.0
3wyJ90In0gjiWYgXniY4Op,Heroes (we could be) - Branchez Remix,Alesso,48.0,03cpWxb3t38YrVTxBI62og,Heroes (we could be) [The Remixes],2014-12-08,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.662,0.487,5.0,-9.028,1.0,0.0325,0.474,0.000114,0.0929,0.33,122.057,204907.0,,2014.0
0k4kiY86YyvLYRqQETwyXD,Speeding,Lights,33.0,1u8OmwItT46Y1gD2xKAK9D,Little Machines,2014-09-19,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,pop,indie poptimism,0.584,0.756,0.0,-5.386,1.0,0.0498,0.138,1.53e-05,0.173,0.722,87.989,206667.0,,2014.0
2eFxaSHpZcJiwKlUpHqtLp,Wild Eyes,Broiler,6.0,4DAm6vphc5YLSFj9nPFgWg,Wild Eyes,2014-11-10,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.628,0.747,11.0,-6.448,0.0,0.0683,0.319,0.000628,0.0979,0.138,126.01,204573.0,,2014.0
0nMqAzCOdTbB4AtNUe2qZ6,burning gold - Autograf Remix,Christina Perri,38.0,5fceqTaxlklUq4S8IAyRqT,burning gold remixes,2014-11-04,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.482,0.842,4.0,-5.866,0.0,0.309,0.0906,0.00913,0.0904,0.12,97.853,333061.0,,2014.0
3tfsqKlijCyeRO5TZIQStC,Do It,Tuxedo,1.0,5xmVekYX4KLVIQ1W0P7P6I,Do It,2014-11-17,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.818,0.858,1.0,-4.219,0.0,0.0398,0.0642,0.256,0.256,0.753,119.605,258503.0,,2014.0
0K1glOFXQzLm3KxjJY5rtK,Gemini (feat. George Maple),What So Not,57.0,5iOptr9sgfBLZFUFnZLLKK,Gemini (feat. George Maple),2015-04-03,Indie Poptimism,2QiMewRbSavfZ9MSAYz2h6,pop,indie poptimism,0.481,0.687,7.0,-6.748,0.0,0.0699,0.238,0.11,0.107,0.188,145.971,270257.0,,2015.0
7tirhoEiNOaHD2RYrjt1k9,Take Care,BCX,37.0,50RSuihzOyuEaWACoxes8O,Take Care,2015-04-27,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,pop,indie poptimism,0.805,0.637,6.0,-6.503,1.0,0.0362,0.0933,0.0015,0.133,0.577,120.033,191797.0,,2015.0
4i2OsaRNDW7Jr3KqUb4xfw,Her (Loving You),Glades,35.0,1Ezvo2RC12cFqbJSdSzQXv,Her (Loving You),2015-10-07,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.403,0.86,6.0,-4.252,1.0,0.0649,0.0542,0.000349,0.13,0.311,176.0,215353.0,,2015.0
