track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,91.0,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,,2019.0
4sjiIpEv617LDXaidKioOI,223's (feat. 9lokknine),YNW Melly,85.0,7cekEHNPgpKwVd9kJE9G8F,223's (feat. 9lokknine),2019-08-09,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.932,0.547,0.0,-7.787,0.0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640.0,,2019.0
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,82.0,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,,2016.0
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,90.0,4IRiXE5NROxknUSAUSjMoO,7 EP,2019-06-21,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,157067.0,,2019.0
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,87.0,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,2018-08-03,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.834,0.73,8.0,-3.714,1.0,0.222,0.00513,0.0,0.124,0.446,155.008,312820.0,,2018.0
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,Khalid,83.0,6kf46HbnYCZzP6rjvQHYzg,American Teen,2017-04-27,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.798,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547.0,,2017.0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,85.0,7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,2016-10-28,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,211467.0,,2016.0
4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),Ed Sheeran,89.0,3E12WU80fDMyu7GyIAx7wJ,Beautiful People (feat. Khalid),2019-06-28,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,,2019.0
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,83.0,3cQO7jp5S9qLBoIVtbkSM1,Blurryface,2015-05-15,BALLARE - رقص,1CMvQ4Yr5DlYvYzI0Vc2UE,pop,post-teen pop,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0,,2015.0
7uzmGiiJyRfuViKKK3lVmR,Mine,Bazzi,81.0,5EEkfRgfYHiFu0lGur6Z6M,COSMIC,2018-04-12,🤩🤪Post Teen Pop🤪🤩,6IT8LGpwLw3Pt2XnVUBN7j,pop,post-teen pop,0.71,0.789,4.0,-3.874,1.0,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064.0,,2018.0
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,90.0,06S3Qjh4QWLtn6c7CVhYh7,Callaita,2019-05-31,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,,2019.0
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,84.0,2vD3zSQr8hNlg0obNel4TE,Camila,2018-01-12,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0,,2018.0
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88.0,2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,2019-07-25,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.694,0.758,11.0,-2.986,1.0,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195.0,,2019.0
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,85.0,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,,2018.0
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,Tones and I,100.0,0UywfDKYlyiu1b38DRrzYD,Dance Monkey (Stripped Back) / Dance Monkey,2019-10-17,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.824,0.588,6.0,-6.4,0.0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438.0,,2019.0
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,84.0,2J2f6vGACFrRghO1Ki74BE,Dancin (feat. Luvli) [Krono Remix],2014-11-07,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.72,0.741,10.0,-6.529,0.0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053.0,,2014.0
2gMXnyrvIjhVBUZwvLZDMP,Before You Go,Lewis Capaldi,83.0,2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,pop,post-teen pop,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,,2019.0
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,97.0,0ix3XtPV1LwmZADsprKxcp,Don't Start Now,2019-10-31,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290.0,,2019.0
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Lil Baby,84.0,2yXnY2NiaZk9QiJJittS81,Drip Harder,2018-10-05,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.897,0.662,1.0,-6.903,0.0,0.292,0.0852,0.0,0.534,0.389,112.511,145543.0,,2018.0
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE,Kodak Black,83.0,5n1GSzC1Reao29ScnpLYqp,Dying to Live,2018-12-14,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,228760.0,,2018.0
4tNXntkAzQ5A2dfYRYGIIQ,Easier,5 Seconds of Summer,81.0,0puSqXoH0dMgimvyi5slCt,Easier,2019-05-23,The Sound of Post-Teen Pop,10FCW9lj0NdeoYI5VVvVtY,pop,post-teen pop,0.505,0.428,5.0,-5.604,1.0,0.221,0.489,0.0,0.0977,0.618,175.813,157493.0,,2019.0
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,85.0,33pt9HBdGlAbRGBHQgsZsU,Evolve,2017-06-23,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.605,0.822,0.0,-4.833,1.0,0.0438,0.00671,0.134,0.147,0.288,167.997,187147.0,,2017.0
4R8BJggjosTswLxtkw8V7P,No Me Conoce - Remix,Jhay Cortez,86.0,1V9QpD8kjA2iHCElhFGvlo,Famouz,2019-05-24,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.806,0.786,10.0,-3.831,0.0,0.0741,0.145,0.0,0.0935,0.58,91.973,309120.0,,2019.0
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,92.0,1Flcx9eDuv7pTGM9nJBmGL,Fantasias,2019-08-29,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.879,0.703,1.0,-4.219,1.0,0.0701,0.143,0.0,0.0569,0.788,94.004,199711.0,,2019.0
0y675KDleCZEudjoeL1sQQ,Feelings,Lauv,81.0,1MFxXAGWNIuz0X1hS9VRiS,Feelings,2019-09-19,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.694,0.466,9.0,-6.758,1.0,0.0384,0.0934,0.0,0.098,0.246,103.018,189613.0,,2019.0
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,88.0,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13,Intro to Post-Teen Pop,6o6MNYZqHSkMAKcCHPNu7K,pop,post-teen pop,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,,2019.0
