track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Calvin Harris,83.0,4PwXTHenZZx7ebgsnTM65K,Giant (with Rag'n'Bone Man),2019-01-11,Fresh EDM | Progressive House | Electro House | Trap | Deep House | Electronic | Future House/Bass,0FCHg9zJMNNiOokh3hVcxd,edm,progressive electro house,0.807,0.887,1.0,-4.311,0.0,0.0361,0.016,0.000503,0.0811,0.606,122.015,229184.0,,2019.0
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84.0,7nEiwcUSwycvC77kZ9ub7c,The Middle,2018-01-23,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,,2018.0
05hHF3hPdWPl3GnGdzsqMd,Turn Your Lights On - Radio Mix,Kid Vicious,0.0,0VxSM8dyTPBdnBDglroJf9,Turn Your Lights On,2013-02-28,Vocal House,5PCAWKfUWAUj8VeY8G7xRQ,edm,progressive electro house,0.547,0.747,8.0,-5.55,1.0,0.0376,0.138,0.0139,0.439,0.219,127.961,237156.0,,2013.0
0JRAhR0f4RyCVIyLOXa8Qn,Forest of Wishes,KLIMENT,36.0,3O7JT7YsTbO5M2NwuuJiye,Ambient Xpirals,2013-07-21,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.612,0.608,0.0,-10.637,1.0,0.0297,0.0153,0.827,0.499,0.0645,101.002,426505.0,,2013.0
4TtxmfeohehULwapPlFTFt,Thunderstruck,Cirez D,0.0,4ieYe7UuPNOvb34IsgpasJ,Thunderstuck / Drums In The Deep,2013-11-24,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.74,0.994,6.0,-6.182,0.0,0.0742,0.000178,0.656,0.378,0.137,127.0,492006.0,,2013.0
2G2yZspUEByEgiGCAAW3ue,Losing Sleep - Kat Krazy Remix,John Newman,0.0,2qxorHcjyvIslJatHk2rfT,Losing Sleep,2013-12-12,Vocal House,5PCAWKfUWAUj8VeY8G7xRQ,edm,progressive electro house,0.649,0.935,0.0,-2.739,0.0,0.0574,0.318,0.00361,0.321,0.662,126.994,230886.0,,2013.0
4yQpMgnJSWXdjrZr8B8XZz,Countdown - Original Mix,Hardwell,39.0,5Sgwyvu3HnckpdvOinPXgB,Countdown,2013-10-21,♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house,0.769,0.977,7.0,-2.703,1.0,0.0969,0.0688,0.89,0.0778,0.207,128.005,278438.0,,2013.0
3bUbOOpXfkdDlXg5iPGdJC,Like Home - Radio Edit,Nicky Romero,45.0,3knECzpm45ekkrm06q78TJ,Like Home,2013-03-25,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.575,0.888,2.0,-2.802,0.0,0.04,0.116,5.96e-05,0.333,0.236,127.908,200156.0,,2013.0
0M2dqeUpxBGm8vujMTMhMV,The Break Up - Original Mix,Detroit Swindle,48.0,0ko3QYgFXAfWo4zEyEPN8J,Break Up To Make Up,2013-06-24,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.707,0.808,8.0,-9.887,0.0,0.0503,0.0355,0.0335,0.671,0.241,119.996,476050.0,,2013.0
2c7tRaTDPhcnbmjV98hAdR,Blue Sky,Feenixpawl,34.0,4KTTB4r4wkfRsAjrHR1AaD,Blue Sky,2013-04-10,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.566,0.846,11.0,-4.682,1.0,0.043,0.0277,0.0,0.141,0.517,127.919,213864.0,,2013.0
7hfOe922SDFchmKfNPjle8,T-Rex - Mdk Edit,Mike Candys,23.0,4oyjLIpBlFamsysp6YBH2c,T-Rex,2013-12-06,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.766,0.945,11.0,-2.517,0.0,0.0667,0.00992,0.493,0.101,0.359,130.009,165045.0,,2013.0
3WbscWz4aaobZf7rt3ap2L,Cerrone's Paradise,Cerrone,0.0,2SRsHpJKYvUhAAmZeYJWgd,"Cerrone I, II, III",2014-10-27,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.778,0.84,10.0,-5.484,1.0,0.0588,0.148,0.00458,0.0671,0.82,125.95,234500.0,,2014.0
6SLqAWFmEBEyjU4QIuEIsc,If I Fall,Cole Plante,28.0,28HsMk0oE0r8voVBAuSkJJ,If I Fall,2014-01-01,♥ EDM LOVE 2020,6jI1gFr6ANFtT8MmTvA2Ux,edm,progressive electro house,0.502,0.699,6.0,-4.951,1.0,0.0389,0.0384,0.0,0.122,0.158,129.99,255280.0,,2014.0
26sHC8M6jrhNjlCDz01eAZ,SMASH! - Edit,Ummet Ozcan,37.0,3LfeE9s2lin1mZ8vvrXH9z,SMASH! (Edit),2014-07-14,Alex Workout,7fRlDx99wBg6i45OCvxwKY,edm,progressive electro house,0.726,0.967,1.0,-3.166,1.0,0.0433,0.0216,0.611,0.0658,0.28,128.004,214000.0,,2014.0
44zgYsGJnQU0WBcnB0xTP4,Revolution - Vocal Mix,R3HAB,0.0,6QAolqVL3drz4bRKzuzNee,Revolution (Vocal Mix),2014-01-20,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.695,0.778,7.0,-3.924,0.0,0.0363,0.00156,0.0961,0.103,0.0662,127.983,303711.0,,2014.0
3B0YejTqwvGvUPrD0MAngl,Good Enough - Original Mix,HIIO,0.0,7hMYxDFuWJVSfXnXzN7RyP,Good Enough,2014-12-22,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.706,0.94,8.0,-4.13,1.0,0.115,0.0115,0.807,0.418,0.52,127.996,350000.0,,2014.0
6iQ3CY4T3RvkQnN3N3t343,No 5,Max Graef,27.0,4IcFRP2PzA2E94j0jkcjEv,Bummse EP,2014-03-24,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.821,0.678,4.0,-9.839,0.0,0.201,0.00697,0.8,0.0356,0.607,118.203,341719.0,,2014.0
2c8RzaJ9VOLQfIzAT0JDVj,Escape (Into The Sunset) - Radio Mix,Quintino,0.0,4hMODOOOfOFp56K7G5Y2P7,Escape (Into The Sunset) (featuring Una),2015-04-06,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.567,0.803,2.0,-7.192,1.0,0.0858,0.00814,0.000101,0.398,0.172,127.998,183750.0,,2015.0
1PmU8dWoCrO7JUS4nNzRO9,Glow - JSapp Remix,Britt Nicole,21.0,5YQXfbIAU4nV6f3MospM65,THE REMIXES,2015-03-17,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.7,0.888,2.0,-3.114,0.0,0.0525,0.0202,4.24e-06,0.0994,0.42,128.045,233653.0,,2015.0
6rMwYjoFvxKiaEH4If8ZpZ,How Deep Is Your Love - Calvin Harris & R3hab Remix,Calvin Harris,45.0,4dwsyenCENU1FwKZXh0Ech,How Deep Is Your Love (Remixes),2015-08-07,Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house,0.673,0.859,11.0,-3.007,0.0,0.056,0.00426,0.015,0.128,0.111,127.978,256560.0,,2015.0
3r8WRUAGgr8EWwPGZTS2mS,C-D1 - Original Mix,Tensal,2.0,0CRhEVyrAVQHdCZE1q8Ppa,C,2015-02-22,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.803,0.943,0.0,-10.798,1.0,0.0698,6.51e-05,0.946,0.118,0.216,128.003,333755.0,,2015.0
2r9ZmBqjkFqUolzZecWxDH,Good Karma,stereOMantra,14.0,4O3umUQNgGrRcR5elMDqhl,Observatory,2016-12-12,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.694,0.787,2.0,-10.095,1.0,0.0351,0.0117,0.899,0.0828,0.0712,108.01,438485.0,,2016.0
5HJqLDDjgdhON8LL9U3Oa3,Bomb A Drop,Garmiani,52.0,6veUm1wErhCBJjVBXOFuyp,Bomb A Drop,2016-02-19,Alex Workout,7fRlDx99wBg6i45OCvxwKY,edm,progressive electro house,0.675,0.992,7.0,-0.533,0.0,0.0605,0.0022,0.221,0.387,0.483,128.034,158555.0,,2016.0
63IwltIKqdHUo7flqIoueC,Universe Inside Me,Liquid Soul,48.0,3u2Bng7i0hEVstaOIMQc5J,Universe Inside Me,2016-09-19,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.687,0.834,7.0,-7.699,1.0,0.0823,0.00413,0.893,0.0608,0.055,137.985,481739.0,,2016.0
0E0Dy8WQLtRD2RBnQHI2ND,Double Vision - Original Mix,Prok & Fitch,13.0,2jczpjJkSMTyM60VsJJrtu,Double Vision EP,2016-10-10,Selected House,2JPzPB9jnvJLAYtmCbvZy8,edm,progressive electro house,0.757,0.974,0.0,-7.472,1.0,0.0514,0.000303,0.825,0.0478,0.858,123.995,411713.0,,2016.0
0Q9VZEgOsyuwBcv3MS4w2J,Chaos Theory - Original Mix,Mark Knight,22.0,01cpUHGqPXT6haJW0dgbv8,A Year In The Life,2016-01-22,Selected House,2JPzPB9jnvJLAYtmCbvZy8,edm,progressive electro house,0.716,0.98,6.0,-6.35,1.0,0.112,0.000447,0.887,0.686,0.0281,123.996,418065.0,,2016.0
5ypMnVLjhF2W3uEyGRh1Hj,Sad But True,Boris Brejcha,0.0,2HIDDLbmAz2UiZpI2LaOII,FEAR,2016-09-13,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.82,0.425,2.0,-10.306,1.0,0.0877,0.000694,0.906,0.112,0.307,125.001,481920.0,,2016.0
02PiwfcW4LuKxhDi3JfH01,Don't Look Down (feat. Blake Young),CASS,42.0,66JmbbLZuArxyL1FE7u5hf,Don't Look Down (feat. Blake Young),2017-05-08,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.748,0.713,0.0,-5.444,1.0,0.149,0.0426,1.73e-06,0.149,0.87,149.927,212364.0,,2017.0
6g6kytbKycDE4APQf70qJv,Samurai,Rafael Cerato,16.0,0lpYxKHYgL2LtuUrgc1CZK,Samurai,2017-12-04,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.661,0.829,11.0,-8.606,0.0,0.0406,0.00211,1.25e-06,0.0845,0.0861,123.985,501290.0,,2017.0
6KZXoZkBuLQbyCylfKdZoF,Read My Lips - NOTD Remix,King Deco,30.0,42GD4aWrVpuCCrAkwWOqVy,Read My Lips (NOTD Remix),2017-07-14,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.669,0.785,7.0,-4.305,1.0,0.0369,0.328,0.0,0.177,0.567,105.037,188130.0,,2017.0
1Ew3CCat8okts5yG4I5LpA,Never Walk Alone - Radio Edit,Mike Candys,40.0,70w7NUmpcbNNgzClrQYDXE,Never Walk Alone (Radio Edit),2017-06-30,Female Vocal EDM,5QaPRbVgbEcCc9jC1UxgD1,edm,progressive electro house,0.681,0.703,9.0,-5.306,1.0,0.0283,0.14,0.0,0.177,0.575,100.96,196210.0,,2017.0
5PffvGLh1Wubwf8p4TuPRF,Good Times,Sidney Charles,23.0,7gdI0SWyxuT8SR3iagN3Hq,Rawelution EP,2017-10-27,Selected House,2JPzPB9jnvJLAYtmCbvZy8,edm,progressive electro house,0.794,0.96,7.0,-11.18,1.0,0.0624,0.00597,0.283,0.0936,0.437,123.015,441831.0,,2017.0
2GnVUTHqvJp9GmttayGUqM,Cruising (So They Say),Claptone,33.0,3oGTPoEgDlNxSDMmaWBDS9,Fantast,2018-06-08,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,0.687,0.694,2.0,-6.076,1.0,0.0322,0.0439,0.0143,0.188,0.482,115.024,192000.0,,2018.0
3u4LCfOL7cux9Kt9YgDVXh,Yoru,Rafael Cerato,6.0,4c8qCyEEryEvfIoQmJB44N,Karmaya & Yoru,2018-06-18,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.641,0.922,7.0,-9.887,1.0,0.0442,0.0365,0.883,0.11,0.0364,124.015,408073.0,,2018.0
