track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
4fj7e6Tc48Bmomwyz2Z2XC,Te Quemaste,Manuel Turizo,83.0,0CUMVFalkFhZM6Xo0ErxLi,ADN,2019-08-23,Mansión Reggaetón,37i9dQZF1DWZjqjZMudx9T,latin,reggaeton,0.729,0.773,0.0,-2.486,1.0,0.131,0.611,0.00106,0.287,0.718,176.053,199091.0,,2019.0
6RyuoOJXNzlVWpfC5xQyeI,Alocao (With Bad Gyal),Omar Montes,82.0,6pEhppkTzrKKGkQw4fNqOD,Alocao (With Bad Gyal),2019-10-24,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.673,0.752,11.0,-4.705,0.0,0.0567,0.214,1.53e-06,0.106,0.699,178.005,209320.0,,2019.0
4o1DxRjMCHDwBiOKv88rOl,B11 (feat. Myke Towers),Rvssian,82.0,3dwf8z3LfHFTlAHiyrcGzb,B11 (feat. Myke Towers),2019-09-18,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.759,0.717,0.0,-5.014,1.0,0.115,0.0672,0.000455,0.131,0.195,99.946,251929.0,,2019.0
1tpbAGsGpZee5jDHMcLrUJ,Bellaquita,Dalex,82.0,3RWeME5ryDw9wxO99OoDgP,Bellaquita,2019-09-06,Todo Reggaeton,4csIMGPI3aGo3Xy7WG8jBi,latin,reggaeton,0.584,0.698,8.0,-3.961,1.0,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787.0,,2019.0
7g8YaUQABMal0zWe7a2ijz,Pa Mí - Remix,Dalex,84.0,6stPNzjz40FWTiwlOR98Lp,Climaxxx,2019-05-10,Tusa - Karol G | China - Anuel AA | Estrenos Reggaeton y Música Urbana 2019,0T47pLnihK4xB8Bk9IQ0Dv,latin,reggaeton,0.688,0.62,11.0,-8.029,0.0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960.0,,2019.0
7FbKipScVxkjQxQXwTd0gL,Coronao Now,El Alfa,81.0,5VVkOFYXmjtYd6hoasaWKQ,Coronao Now,2019-11-07,De Fiesta,37i9dQZF1DWVskFRGurTfg,latin,reggaeton,0.941,0.729,6.0,-7.56,0.0,0.246,0.146,0.00451,0.18,0.718,118.026,217881.0,,2019.0
2B94bbI1a4LyBpK1439oP7,Cuerpo en Venta,Noriel,83.0,2JRundp5dldujo6pVchZco,Cuerpo en Venta,2019-08-09,Mansión Reggaetón,37i9dQZF1DWZjqjZMudx9T,latin,reggaeton,0.696,0.601,11.0,-5.749,1.0,0.302,0.161,0.0,0.0974,0.408,91.924,254413.0,,2019.0
0Cn8NxJZz7zUlsaA3rXoIU,Easy - Remix,Jhay Cortez,81.0,3Y00aLNDKDq9rXR3cIcbDo,Easy (Remix),2019-11-19,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,latin,reggaeton,0.886,0.752,1.0,-3.819,0.0,0.0949,0.191,2.76e-06,0.146,0.435,94.066,220147.0,,2019.0
684EjRHwNsZQ9hCQxL4NYL,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,83.0,28561uZztshyZSVG6ElL62,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",2019-08-30,Mansión Reggaetón,37i9dQZF1DWZjqjZMudx9T,latin,reggaeton,0.747,0.647,9.0,-3.234,1.0,0.0737,0.113,0.0,0.112,0.478,87.988,233113.0,,2019.0
3f5lA8nnc4YYF1qf78WpHw,Ella Quiere Beber - Remix,Anuel AA,82.0,58NQUIHQRJnXyBUeGtG8KG,Ella Quiere Beber (Remix),2018-11-02,El Ritmo,37i9dQZF1DWVOLXBOylBUZ,latin,reggaeton,0.75,0.665,8.0,-3.083,1.0,0.124,0.265,0.0,0.0515,0.697,95.239,219357.0,,2018.0
