track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85.0,0rSLgV8p5FzfnqlEk4GzxE,Closer (feat. Halsey),2016-07-29,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,,2016.0
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,81.0,2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down,2016-02-05,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,208373.0,,2016.0
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best,Surfaces,81.0,3mMWlBGocBwsS1Q0o9wvlc,Where the Light Is,2019-01-06,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.878,0.525,5.0,-6.832,1.0,0.0578,0.183,0.0,0.0714,0.694,112.022,158571.0,,2019.0
6QicTxeiSaRkPnkGDUvYOs,Pretty Girls,Britney Spears,59.0,76LmTxakuFgfAmvUvEXz5S,Pretty Girls,2015-05-04,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.834,0.831,7.0,-6.061,0.0,0.0745,0.00799,0.0,0.217,0.788,103.009,163960.0,,2015.0
7a6GeFdPlbQtd7BwVlZ52k,Ginza,J Balvin,5.0,5ZBSkEol23oUM1YxJJHOCh,Ginza,2015-06-23,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.784,0.809,5.0,-6.458,0.0,0.0824,0.235,0.00122,0.0772,0.845,102.048,170186.0,,2015.0
49zD0wr2S3d0lZPib0K4e1,F*ck Up Some Commas,Future,68.0,0fUy6IdLHDpGNwavIlhEsl,DS2 (Deluxe),2015-07-17,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.874,0.568,11.0,-5.896,0.0,0.224,0.0698,1.38e-05,0.149,0.46,139.995,237400.0,,2015.0
1UjyF6okUHhnVxaLV8ojsA,Am I Wrong (feat. ScHoolboy Q),Anderson .Paak,60.0,4VFG1DOuTeDMBjBLZT7hCK,Malibu,2016-01-15,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.729,0.799,11.0,-7.378,0.0,0.0779,0.0588,0.00218,0.0948,0.532,115.04,253520.0,,2016.0
1JNvCcHIlwpcxWJ5NFgUrl,Get Up,Dorothy,29.0,3l818X44C7TKlnlfXWvdvT,Get Up,2016-02-05,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.643,0.383,9.0,-6.433,0.0,0.036,0.0197,0.0,0.0892,0.42,94.985,118834.0,,2016.0
1DG8aQMP3dS9Pxf1lUnKh4,That Thing You Do,Ellem,39.0,5EvtBkEZmescEq0kniPSHt,That Thing You Do,2016-09-05,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.755,0.937,8.0,-3.623,0.0,0.0891,0.0114,0.000233,0.0772,0.59,119.979,188000.0,,2016.0
0qof4XKrb3VLXVXnkvsTmg,Lay Up,Future,0.0,25DWyGdfIlaI31hw9QYDOh,Beast Mode,2016-01-15,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.532,0.604,7.0,-7.273,0.0,0.348,0.371,0.0,0.114,0.538,95.307,167160.0,,2016.0
4csoLz9xpiBBXYuhZLeQlx,Makaveli,DJ Max Star,0.0,3K7aL8c97HlMm8te8ZaRsT,My Color It Is My Strength.3,2016-12-05,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.419,0.625,10.0,-8.785,0.0,0.0891,0.0293,1.17e-05,0.348,0.235,141.731,294478.0,,2016.0
0tPShxf8VJUH6RBDEP3tVB,Bake Sale (feat. Travis Scott),Wiz Khalifa,58.0,3O7U5XkgS4HxkAXcukdRfR,Bake Sale (feat. Travis Scott),2016-01-22,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.864,0.551,3.0,-5.198,1.0,0.22,0.144,0.0,0.104,0.38,139.934,238534.0,,2016.0
5fj3vGGigaAbVhPz9TjsLz,No Target,Brodinski,32.0,0kSoc58QK1UBCq6h8DuW9v,The Sour Patch Kid,2017-03-03,"🔥💵 Hip Hop, Rap, Heavy 808's - New School",3jPkaExIWXQWklcmmF5180,rap,southern hip hop,0.811,0.605,5.0,-8.942,1.0,0.128,0.0998,9.09e-05,0.108,0.189,128.042,198757.0,,2017.0
2ZMI0QNoqU9fQZFirR9WpK,When The Curtain Falls,Greta Van Fleet,65.0,7zeCZY6rQRufc8IHGKyXGX,Anthem Of The Peaceful Army,2018-10-19,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.535,0.975,0.0,-2.959,1.0,0.0647,0.0297,0.126,0.0482,0.689,96.004,222960.0,,2018.0
1YmF9PvLhIISIANoMLIYGq,A$AP Forever,A$AP Rocky,68.0,67Em0g7VkNZGzICh4SZQdY,A$AP Forever (feat. Moby),2018-04-05,Contemporary Hip Hop,68y3WoFJMMKDHUIpqCnoM3,rap,southern hip hop,0.469,0.78,10.0,-6.49,0.0,0.122,0.224,0.0,0.13,0.444,125.999,233061.0,,2018.0
2APxijdVoN8AIrS1AuCMAT,Dirty South,Upchurch,55.0,5zs0aZqLLGTCZFgRa0idoI,Creeker,2018-02-12,Southern soul & hip hop,4xJULuV0P5PLcMe3xP8Pgj,rap,southern hip hop,0.583,0.459,9.0,-8.422,0.0,0.0304,0.239,0.0,0.111,0.357,99.809,169506.0,,2018.0
1YdrrsnOMgOS92mD5xTsBs,Love is a War,Jelly Roll,42.0,138S8GterIlZRtIQCzMeml,Waylon & Willie III,2018-11-16,Southern soul & hip hop,4xJULuV0P5PLcMe3xP8Pgj,rap,southern hip hop,0.635,0.429,9.0,-9.926,0.0,0.113,0.115,0.0,0.0689,0.25,121.953,258044.0,,2018.0
7BpxBMNYNYguGWZZk2zOKe,Mister (feat. 21 Savage),Young Nudy,52.0,1GA0RYI8TGXAKtNt66ZBbC,Mister (feat. 21 Savage),2019-04-24,Southern Hip Hop,57sYMLFXGD4ZqizzcMD7lz,rap,southern hip hop,0.767,0.593,7.0,-7.903,1.0,0.198,0.256,0.0,0.109,0.23,142.972,174707.0,,2019.0
7kUycEYvdRdHmXmxRiywPE,Big Shot (feat. Mustard),O.T. Genasis,65.0,6zeT0To7fzZjYNu2O4KZB5,Big Shot (feat. Mustard),2019-10-25,The Sound of Southern Hip Hop,18jT9NMRZifv6cMtK2jWD4,rap,southern hip hop,0.873,0.591,2.0,-5.928,1.0,0.226,0.168,0.0,0.117,0.277,100.515,143333.0,,2019.0
6nYonr9Dh3CoNxtLBwv8N0,40 Bandz,Ducko McFli,45.0,38Z4QE98E1MpWECQwoMmlE,40 Bandz,2019-12-12,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.729,0.607,6.0,-8.324,0.0,0.043,0.0361,0.0,0.119,0.288,129.941,192160.0,,2019.0
2IlL3qHdBURCke78uEdGnM,CHECK,Kennedy Stephens,49.0,11nJ3iDQLuz6c3VHbJgK7M,CHECK,2019-09-23,Viral Southern Hip Hop,0DdGqNa18DwYyfIR05OrW1,rap,southern hip hop,0.582,0.579,1.0,-7.791,1.0,0.0595,0.0128,0.343,0.175,0.499,140.045,178286.0,,2019.0
4F4neui0edP1ozygvFiCi7,Rock The Bells,LL Cool J,51.0,4sevefzBUFvJYAzijVBQ2a,Radio,1985-11-18,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.896,0.517,6.0,-12.813,0.0,0.143,0.00596,0.364,0.124,0.285,98.472,240493.0,,1985.0
5RGXoZt1qxmAErdhbyKJKq,Boyz-N-The-Hood,Eazy-E,64.0,5fPat8IjkbKuwk27MTQIWy,N.W.A. And The Posse,1987-01-01,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.785,0.479,3.0,-10.247,1.0,0.362,0.0417,3.5e-05,0.334,0.727,87.691,339893.0,,1987.0
7MmhQMfjXPF2AnqrmbqvVB,Posse On Broadway,Sir Mix-A-Lot,50.0,3kE6LwvidNi3jpkLreS170,Swass,1988-01-01,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.819,0.292,7.0,-15.114,1.0,0.49,0.0269,0.0,0.361,0.516,173.055,304880.0,,1988.0
2z1FmK5To9gj1rU4mS20f9,Freaks of the Industry,Digital Underground,42.0,1qUuOtsaAWlD6D83AebzD0,Sex Packets,1990-03-26,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.674,0.43,6.0,-13.562,0.0,0.263,0.107,7.31e-05,0.116,0.385,88.543,340907.0,,1990.0
66PMGMD21uPKg1ltfAHPGv,Growin' Up In the Hood,Compton's Most Wanted,33.0,5Ndj8UG1ncF9Expi9z5LnM,Straight Checkn 'Em,1991-07-02,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.858,0.657,2.0,-11.2,1.0,0.269,0.0945,0.0,0.258,0.622,89.988,251867.0,,1991.0
63BokRfXSQhEU6Qi2dSJpZ,Mind Playing Tricks on Me,Geto Boys,65.0,2MJEvcUvsLPjsvVgqn8xa4,We Can't Be Stopped,1991-07-02,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.886,0.512,10.0,-11.825,0.0,0.237,0.207,0.0,0.0991,0.454,93.997,308733.0,,1991.0
4G3dZN9o3o2X4VKwt4CLts,Passin' Me By,The Pharcyde,67.0,48kU5gP41TqZEw32Cwhsna,Bizarre Ride II The Pharcyde,1992-11-24,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.759,0.756,4.0,-8.145,0.0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,303493.0,,1992.0
47ukoPgAExwBp64F2gQlv2,Back To The Hotel,N2DEEP,53.0,05zhmTMHkdBVqYF9zwJN9y,Back To The Hotel,1992-06-01,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.69,0.38,9.0,-12.845,1.0,0.0609,0.000168,0.000533,0.136,0.305,201.697,304280.0,,1992.0
0HOqINudNgQFpg1le5Hnqe,Damn It Feels Good to Be a Gangsta,Geto Boys,60.0,7caok0dVcdy1tLFuvIf92H,Uncut Dope,1992-11-17,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.785,0.793,1.0,-7.915,1.0,0.163,0.22,0.718,0.124,0.655,88.902,310600.0,,1992.0
2qOm7ukLyHUXWyR4ZWLwxA,It Was A Good Day,Ice Cube,74.0,71HM1CMYWeZzws8pyiEn46,The Predator,1992-11-17,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.798,0.744,7.0,-5.328,0.0,0.136,0.33,0.000106,0.292,0.794,82.356,260000.0,,1992.0
1oTHteQbmJw15rPxPVXUTv,Insane in the Brain,Cypress Hill,70.0,02lktkm4J7K7N8T63Gm7KX,Black Sunday,1993-07-20,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.897,0.612,11.0,-10.489,1.0,0.211,0.0297,0.186,0.0894,0.767,102.305,208267.0,,1993.0
119c93MHjrDLJTApCVGpvx,C.R.E.A.M.,Wu-Tang Clan,72.0,3tQd5mwBtVyxCoEo4htGAV,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.479,0.549,11.0,-10.551,0.0,0.373,0.57,0.0239,0.127,0.576,180.985,252187.0,,1993.0
32WDVNZXIAuu7EqncTTKjH,Electric Relaxation,A Tribe Called Quest,52.0,4v5x3Oo3UjQ9YmF3hRAip5,Midnight Marauders,1993-11-09,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.852,0.418,11.0,-12.823,1.0,0.42,0.246,0.35,0.126,0.651,98.237,243800.0,,1993.0
7fOa2YngldFhZpkPpQVwpb,Six Feet Deep,Geto Boys,37.0,0RKFBA5pwzXGBvcbOkd1g3,Til Death Do Us Part,1993-03-09,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.811,0.502,10.0,-12.377,0.0,0.239,0.0778,0.00952,0.374,0.759,137.81,324333.0,,1993.0
09Oj9xexrJ5N5hzMoOHgh5,This Is The Shack,Warren G,20.0,6SaKWgfQSk31X0OMLkt1hU,Regulate...G Funk Era (20th Anniversary),1994-06-07,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.584,0.791,7.0,-6.514,1.0,0.245,0.057,0.0,0.323,0.692,180.183,245360.0,,1994.0
5f8KgDZ8aQKQii0U1qdRbC,Pimp Of The Year,Dru Down,48.0,1ROtodYSqQpGTr4Z99Vq6P,Explicit Game,1994-09-06,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.931,0.513,2.0,-4.655,1.0,0.263,0.108,0.000435,0.272,0.3,101.064,254093.0,,1994.0
4n8d6mjEugRMTBI7mjiHIY,Kitty-Kitty,69 Boyz,34.0,0pTv9npSf7D3pqKDi9fad1,199 Quad (w/ Bonus Dvd),1994-05-27,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.777,0.901,11.0,-10.789,0.0,0.168,0.00106,0.0,0.428,0.577,133.011,248133.0,,1994.0
3MnwLa9KRUiv2gNFtWPvib,C'Mon wit da Git Down,Artifacts,56.0,0x4ZQDTaX3vyqP8ZCd4BcE,Between A Rock And A Hard Place,1994-10-25,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.651,0.61,9.0,-6.078,0.0,0.312,0.109,1.1e-05,0.169,0.741,166.079,244307.0,,1994.0
0Puj4YlTm6xNzDDADXHMI9,Sabotage,Beastie Boys,71.0,6lfjbwFGzQ6aSNP1N3JlT8,Ill Communication,1994-05-23,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.324,0.938,6.0,-7.332,0.0,0.102,0.032,0.0321,0.0961,0.543,168.131,178440.0,,1994.0
56whVbEPZ2bRA5VboQPned,Livin' Proof,Group Home,51.0,3fbcKscWKVKFcgdX1XaWFf,Livin' Proof,1995-01-01,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.808,0.765,6.0,-7.363,0.0,0.302,0.00916,0.000196,0.0515,0.761,92.044,254933.0,,1995.0
0Sizq91V0brNa9RBpMfeOB,Here I Go,Mystikal,42.0,6ZFUMvnLkGErstI6DWISYn,Mind Of Mystikal,1995-10-05,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.727,0.661,6.0,-4.992,0.0,0.0731,0.355,0.0,0.3,0.511,84.974,345067.0,,1995.0
7Kutf53V4k0CvU4nKu5oK6,Real Hip-Hop,Das EFX,58.0,2t70lfxoIbKZHKFKN9ZnqE,Hold It Down,1995-09-26,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.858,0.76,4.0,-7.895,0.0,0.254,0.0217,0.0,0.322,0.951,93.082,247613.0,,1995.0
7lQWRAjyhTpCWFC0jmclT4,Gangsta's Paradise,Coolio,80.0,0fYctMs4EvoEqzDh8Kmg5g,Gangsta's Paradise,1995-11-07,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.647,0.514,8.0,-10.05,1.0,0.0593,0.0655,0.0,0.398,0.387,79.974,240693.0,,1995.0
3nqnWEZnYoetfO2ksMZZVK,I Like It (I Wanna Be Where You Are),Grand Puba,59.0,5D0qg59CW2bRpo2DawgpIW,2000,1995-06-20,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.865,0.641,10.0,-6.652,0.0,0.162,0.0611,0.000107,0.218,0.762,95.307,263533.0,,1995.0
7k3sn5TIQ3qRVJ8FPTG9kx,Let Me Clear My Throat - Old School Reunion Remix '96,DJ Kool,52.0,1Ezs8SlccViPDEQY55BO50,Let Me Clear My Throat,1996-01-01,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.697,0.901,7.0,-7.154,1.0,0.259,0.169,0.0,0.356,0.535,103.145,290160.0,,1996.0
1h20yRsf5WeuHbohrlfcCt,Me Or The Papes,Jeru The Damaja,58.0,7jvuTIYaBYqbTcLZZwXlIZ,Wrath Of The Math,1996-01-01,90's Hip Hop Ultimate Collection,4IG024zoaGMurhTFBkMAv9,rap,southern hip hop,0.687,0.597,6.0,-10.741,0.0,0.374,0.0314,0.0,0.0348,0.804,169.691,265533.0,,1996.0
56hvN4r1qI7kDW9cw1lVov,Hay,Crucial Conflict,42.0,1R5AaySMUzB0lmuwQ49YJO,The Final Tic,1996-01-01,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.749,0.733,11.0,-9.163,0.0,0.0611,0.0302,0.0,0.151,0.897,139.935,260240.0,,1996.0
3R5G81gtoO5CcZlRCRKVLk,Sho Nuff,Tela,44.0,5iR4qrdJn0age8w8rqBUfR,Piece Of Mind,1996-11-05,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.776,0.468,0.0,-8.35,1.0,0.144,0.00138,0.0,0.162,0.233,146.149,308027.0,,1996.0
2vfvGlqCB7oertO5VLE0sz,ATLiens,OutKast,67.0,1IaBCF26OjgYwUCEPaIyC0,ATLiens,1996-08-27,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.918,0.734,11.0,-2.832,0.0,0.269,0.0294,7.9e-06,0.191,0.608,97.044,230693.0,,1996.0
5K5dQsYdSdo2LKdepxbYAd,Gettin' It,Too $hort,61.0,27q3JlNTwpv5Zvf7yDReHH,Gettin' It (Album Number Ten),1996-05-21,Minitruckin Playlist,0VVH2Nzj6kBVGK3WIUQMAw,rap,southern hip hop,0.902,0.411,1.0,-5.311,1.0,0.217,0.176,0.0,0.119,0.667,84.07,341427.0,,1996.0
2OawRn0NvWkStuemgdae4i,My Boo - Hitman's Club Mix,Ghost Town DJs,6.0,25icVyYwOAjrUOZOLx44K0,So So Def Bass All-Stars,1996-06-04,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.885,0.477,6.0,-9.196,0.0,0.0664,0.000131,0.000664,0.336,0.691,130.078,346840.0,,1996.0
7GRq9NUgqhxPGUUksX02fk,Blue on Black,Kenny Wayne Shepherd,59.0,1ODpJWe2bymqj4DyJfuBE9,Trouble Is...,1997-09-26,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.412,0.676,7.0,-7.341,1.0,0.0266,0.00596,0.112,0.209,0.557,155.431,333733.0,,1997.0
3KHLmEOyPeJTa5jsNHvAgw,You & Me,Mia X,8.0,78FznFtIyWe4Ncyo3tAE6t,Unlady Like,1997-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.663,0.474,1.0,-10.111,0.0,0.151,0.00435,0.0292,0.137,0.54,159.849,278400.0,,1997.0
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,74.0,7HvIrSkKGJCzd8AKyjTJ6Q,Blur [Special Edition],1997-02-10,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.674,0.789,8.0,-6.903,1.0,0.0676,0.00178,0.0071,0.0754,0.918,129.804,121160.0,,1997.0
1zuFmAYoY5ZOPRRIxcakUa,Whatcha Wanna Do,Mia X,21.0,4zfQXy8m725FD6SgIKQ7w7,Mama Drama,1998-10-27,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.709,0.587,11.0,-8.582,0.0,0.107,0.00441,0.0,0.14,0.313,84.94,280200.0,,1998.0
4mm8a4NFLKVzciUJkCPWrL,War Wounds,Master P,30.0,0BVvg6EVfwto3LmLbhEAnM,MP Da Last Don,1998-01-01,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.801,0.588,1.0,-7.386,0.0,0.234,0.00876,0.0,0.401,0.447,82.018,262107.0,,1998.0
559cZxWbBgXPonNmdxQJne,Life Story (feat. Al-D & Bam),Z-Ro,0.0,6TVDBxXKrkRWFXNnDx2cGl,Look What You Did To Me,1998-06-16,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.716,0.811,9.0,-7.909,0.0,0.141,0.355,0.0,0.168,0.564,88.992,241680.0,,1998.0
5xGxl3Iux0worDz9tLbaDn,#1 Stunna,Big Tymers,0.0,688cR89wVSFrXVj56N59g6,I Got That Work (Explicit Version),2000-01-01,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.552,0.839,2.0,-4.984,1.0,0.284,0.015,0.00404,0.258,0.569,89.07,281960.0,,2000.0
1Un1dsZkA9cfZMLOXOyUBc,Bia' Bia',Lil Jon,42.0,3t1KcEIjoOo2W5oA1wAh1N,We Still Crunk!,2000-08-15,Dirty South Rap Classics by DJ HOTSAUCE,0tLHH1C4HkWEUCXXSSjbOe,rap,southern hip hop,0.768,0.7,1.0,-8.021,1.0,0.305,0.00185,0.0,0.0901,0.659,79.996,302106.0,,2000.0
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,OutKast,77.0,2tm3Ht61kqqRZtIYsBjxEj,Stankonia,2000-10-31,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW,rap,southern hip hop,0.843,0.805,4.0,-5.946,0.0,0.269,0.142,0.0,0.0771,0.615,94.946,270507.0,,2000.0
5eYwDBLucWfWI5KsV7oYX2,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,19.0,7ait6chB3O3C1fMGUDJhtu,Anthology: Through The Years,2000-01-01,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.402,0.814,10.0,-4.954,1.0,0.14,0.0383,1.19e-06,0.266,0.516,170.02,272267.0,,2000.0
14ZeVc6AqpEt29RN8IH72x,Wood Wheel,UGK,42.0,1HWeoKv9Pi7Mkw3oQA7Yud,Dirty Money,2001-11-11,90's Southern Hip Hop,2NMW1nwQYSVlXd26uLenX6,rap,southern hip hop,0.941,0.828,11.0,-5.964,1.0,0.152,0.00509,0.0,0.0959,0.961,127.983,296054.0,,2001.0
52riputZ4Vo5PG9MOSy6r5,I Got Love,Nate Dogg,60.0,1MCA50GzswxscAouRWnrES,Music And Me,2001-12-04,Southern California Hip Hop Primer,206vi9Q0p3juAU73flxPsz,rap,southern hip hop,0.912,0.416,10.0,-5.943,0.0,0.164,0.437,0.306,0.09,0.677,90.013,236227.0,,2001.0
