track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,86.0,5VdyJkLe3yvOs0l4xXbWp0,17,2017-08-25,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133.0,,2017.0
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,87.0,2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,Trap strefa,37i9dQZF1DWY3UKS6jvnxr,rap,trap,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.123,0.473,75.023,166606.0,,2018.0
4fj7e6Tc48Bmomwyz2Z2XC,Te Quemaste,Manuel Turizo,83.0,0CUMVFalkFhZM6Xo0ErxLi,ADN,2019-08-23,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.729,0.773,0.0,-2.486,1.0,0.131,0.611,0.00106,0.287,0.718,176.053,199091.0,,2019.0
1tpbAGsGpZee5jDHMcLrUJ,Bellaquita,Dalex,82.0,3RWeME5ryDw9wxO99OoDgP,Bellaquita,2019-09-06,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.584,0.698,8.0,-3.961,1.0,0.106,0.09,6.87e-05,0.171,0.765,166.047,204787.0,,2019.0
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,90.0,06S3Qjh4QWLtn6c7CVhYh7,Callaita,2019-05-31,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,,2019.0
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,88.0,2MFS6WG6jnPAgvJpV3PehR,Carte Blanche,2019-07-25,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.694,0.758,11.0,-2.986,1.0,0.218,0.278,1.34e-06,0.102,0.371,192.091,185195.0,,2019.0
7anSoGdgtmJTAPZBzcPhO6,Cuaderno,Dalex,83.0,6stPNzjz40FWTiwlOR98Lp,Climaxxx,2019-05-10,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.681,0.648,1.0,-5.021,0.0,0.38,0.524,0.0,0.104,0.687,172.019,286507.0,,2019.0
4jvjzW7Hm0yK4LvvE0Paz9,Falling Down - Bonus Track,Lil Peep,83.0,52JymrguPgkmmwLaWIusst,"Come Over When You're Sober, Pt. 2",2018-11-09,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.669,0.574,4.0,-6.442,0.0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400.0,,2018.0
6Hj9jySrnFppAI0sEMCZpJ,Robbery,Juice WRLD,88.0,1GYVNOzwhx1nMcIJDogSNp,Death Race For Love,2019-03-08,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.685,0.692,2.0,-5.122,1.0,0.0457,0.328,0.0,0.153,0.578,159.966,240051.0,,2019.0
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,92.0,1Flcx9eDuv7pTGM9nJBmGL,Fantasias,2019-08-29,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.879,0.703,1.0,-4.219,1.0,0.0701,0.143,0.0,0.0569,0.788,94.004,199711.0,,2019.0
1fCeXjoRExPP2qwSBh2aST,Black & White,Juice WRLD,81.0,6tkjU4Umpo79wwkgPMV3nZ,Goodbye & Good Riddance,2018-12-10,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.776,0.736,7.0,-4.612,1.0,0.247,0.0802,0.0,0.159,0.233,147.946,186945.0,,2018.0
57vxBYXtHMk6H1aD29V7PU,Heartless,The Weeknd,93.0,7vRcickwa6GCfY1qKKe4lK,Heartless,2019-11-27,Trap Americana,7tkgK1tm9hYkWp7EFyOcAr,rap,trap,0.531,0.75,10.0,-5.831,0.0,0.111,0.00632,7.6e-05,0.117,0.198,169.954,200080.0,,2019.0
4z6wo6PJG4Fve45OXK6D9m,Infeliz,Arcangel,84.0,0CPLMVp7rMi3BkzAMve96K,Historias de un Capricornio,2019-12-20,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.713,0.798,1.0,-3.147,1.0,0.219,0.366,4.3e-06,0.246,0.721,176.073,221103.0,,2019.0
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),Bad Bunny,83.0,0p0W4RXcnc59jgatcdZozO,MIA (feat. Drake),2018-10-11,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.817,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,,2018.0
7rknFhrVDyxzTJkPSf7LoW,No Me Conoce - Remix,Jhay Cortez,84.0,2t2aNgqXTXuCh9fqT05g9U,No Me Conoce (Remix),2019-05-17,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.794,0.79,10.0,-3.855,0.0,0.0599,0.144,0.0,0.0893,0.577,91.984,307547.0,,2019.0
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,J Balvin,91.0,6ylFfzx32ICw4L1A7YWNLN,OASIS,2019-06-28,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.754,0.646,7.0,-5.795,1.0,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573.0,,2019.0
4bTZeO72FwMa6wKOiqoynL,Otro Trago - Remix,Sech,86.0,3hiJmThCss4ugTPzvgUnT1,Otro Trago (Remix),2019-07-26,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.725,0.79,0.0,-2.331,1.0,0.197,0.0711,1.14e-06,0.0602,0.763,175.988,287773.0,,2019.0
4ZT9FnbFu1PaBfV3itxiqT,I,Lil Skies,81.0,47FalEKu0of8GExDtZBkxT,Shelby,2019-03-01,Sad Trap,7kzKtw5vug3IIxKfLadi8A,rap,trap,0.649,0.453,6.0,-7.28,1.0,0.085,0.627,0.0,0.116,0.431,99.183,181891.0,,2019.0
1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,Lunay,85.0,2m9Vuc9Q19qhSm6RQmBgsR,Soltera (Remix),2019-05-10,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.795,0.783,5.0,-4.271,1.0,0.0432,0.361,0.0,0.437,0.8,92.016,266087.0,,2019.0
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,98.0,7mKevNHhVnZER3BLgI8O4F,Tusa,2019-11-07,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,,2019.0
4lzxJ4jCuFDXXGkE1LmpKR,Verte Ir,DJ Luian,83.0,76XsfdI0kGODDdhHAJKZi3,Verte Ir,2019-03-28,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.857,0.647,11.0,-4.152,0.0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,267500.0,,2019.0
5DxXgozhkPLgrbKFY91w0c,Vete,Bad Bunny,93.0,3fxzSn0ObgCjLadyR53ohN,Vete,2019-11-21,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.886,0.672,1.0,-4.394,1.0,0.188,0.0363,8.78e-06,0.101,0.526,91.976,192024.0,,2019.0
37zdqI4r1gswIzczSBkRon,Aventura,Lunay,89.0,46xbsFOp9g1WqTidQEs7YT,Épico,2019-10-25,Trap 2020 🔥,37DFLy7lqF3qiR99Ss2ZGR,rap,trap,0.729,0.726,5.0,-3.208,1.0,0.0422,0.223,0.0,0.101,0.876,92.025,217130.0,,2019.0
5hcisvFMidkMJlElTO9Qmw,Sensualidad,Bad Bunny,74.0,287ZdmXv5M5YH5xxdGLhbY,Sensualidad,2017-11-03,Trap Rewind,37i9dQZF1DX0JcH25923HT,rap,trap,0.807,0.681,11.0,-6.268,1.0,0.0983,0.423,0.0,0.0962,0.676,140.006,297485.0,,2017.0
