track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,Pedro Capó,86.0,1tFnP9PwIMeMIuj92mfswZ,Calma (Remix),2018-10-05,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.826,0.773,11.0,-4.218,0.0,0.0524,0.323,0.0,0.143,0.761,126.899,238200.0,,2018.0
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85.0,0rSLgV8p5FzfnqlEk4GzxE,Closer (feat. Halsey),2016-07-29,Tropical House Run 190 BPM,37i9dQZF1DWSTc9FdySHtz,latin,tropical,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.661,95.01,244960.0,,2016.0
1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,The Chainsmokers,81.0,2SByipSK8eZ2pasaIwwzhf,Don't Let Me Down,2016-02-05,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,208373.0,,2016.0
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,84.0,7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),2018-07-12,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,173800.0,,2018.0
5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),Silk City,81.0,429B3se6xtZuvblNnS2iy7,Electricity (with Dua Lipa),2018-09-06,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173.0,,2018.0
14sOS5L36385FJ3OL8hew4,Happy Now,Kygo,81.0,6nAjd2MlBY1f1mNu6BsWLO,Happy Now,2018-10-26,Tropical Vibes,37i9dQZF1DXd8Gn5cSmvFy,latin,tropical,0.693,0.575,9.0,-6.998,1.0,0.0801,0.374,0.0,0.252,0.492,117.999,211362.0,,2018.0
6oJ6le65B3SEqPwMRNXWjY,Higher Love,Kygo,87.0,4wquJImu8RtyEuDtIAsfcE,Higher Love,2019-06-28,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.693,0.678,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,228267.0,,2019.0
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,84.0,1c79SozES9Eb3Lzf9KVaIa,In My Mind,2018-06-08,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.694,0.77,6.0,-5.335,1.0,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560.0,,2018.0
0U6bQIAh6MCGo1xjbIIx2S,Instagram,Dimitri Vegas & Like Mike,81.0,7FTzcNdsKhMe53orWXsai8,Instagram,2019-07-05,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.765,0.906,8.0,-2.097,0.0,0.0965,0.125,0.0,0.423,0.95,96.071,184558.0,,2019.0
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,83.0,41S9bfzXTSGK4HU2mp5qXH,Magnets EP,2019-05-24,Tropical House 2020,2oivDYqm1dQK4KbwVJTaf6,latin,tropical,0.59,0.642,7.0,-3.87,1.0,0.122,0.0771,0.0,0.105,0.651,107.356,174444.0,,2019.0
4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker,83.0,1bcvtuHyO79DNAOOhHEkEm,On My Way,2019-03-21,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.509,0.689,1.0,-4.929,0.0,0.102,0.0209,0.0,0.301,0.297,170.087,193798.0,,2019.0
52okn5MNA47tk87PeZJLEL,Let You Down,NF,83.0,1KOmHyNLuOe5YrPhD3Juuf,Perception,2017-10-06,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.662,0.714,5.0,-5.68,0.0,0.121,0.312,0.0,0.179,0.464,147.997,212120.0,,2017.0
7Feaw9WAEREY0DUOSXJLOM,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83.0,0xbuJLlb5afBcmCpdOaszR,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.661,0.723,5.0,-6.976,0.0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805.0,,2019.0
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,84.0,7nEiwcUSwycvC77kZ9ub7c,The Middle,2018-01-23,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.753,0.657,7.0,-3.061,1.0,0.0449,0.171,0.0,0.112,0.437,107.01,184732.0,,2018.0
5p7ujcrUXASCNwRaWNHR1C,Without Me,Halsey,88.0,0zzrCTzvL4ZmR42xF46Afm,Without Me,2018-10-04,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661.0,,2018.0
3TKpJrY9q49Mj1JOsM9zGL,Family,The Chainsmokers,85.0,01GR4NL5O5CZM51k0aejKD,World War Joy,2019-12-06,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.584,0.607,11.0,-6.605,1.0,0.0356,0.426,0.0,0.101,0.374,117.817,194827.0,,2019.0
05qPqSapbaCzJAdX681R9A,Make Me Feel Better - Klingande Remix,Alex Adair,28.0,7H1iy8Xm6I58QEEl8PhXkX,Make Me Feel Better (Remixes),2015-03-01,Tropical Beats,37i9dQZF1DX1bDvyV0IkZ3,latin,tropical,0.685,0.731,0.0,-7.568,0.0,0.0312,0.0179,0.175,0.136,0.155,125.98,265238.0,,2015.0
5afHIkEcVhCF1Z1CTqMUXB,Ain't Nobody (Loves Me Better),Felix Jaehn,19.0,3beitV4REkUMQn4BXZlD8F,Ain't Nobody (Loves Me Better),2015-03-03,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.768,0.567,2.0,-7.046,0.0,0.0312,0.66,0.000277,0.07,0.471,117.974,186147.0,,2015.0
23WI5V2eD4EyGKxSl7Pyeq,Andas En Mi Cabeza,Chino & Nacho,72.0,0MaeGZFHJa76NUjYux7ygZ,Andas En Mi Cabeza,2016-02-19,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.671,0.954,9.0,-1.87,1.0,0.13,0.0244,0.0,0.111,0.556,104.114,247493.0,,2016.0
340sV0G2e1h5jWsMyDRmc9,Safe and Sound - Radio Edit,NLSN,4.0,28AKutXX5V1KwEJHWSyDRL,Safe and Sound (Radio Edit),2016-09-09,Tropical House,37i9dQZF1DX0AMssoUKCz7,latin,tropical,0.793,0.722,1.0,-3.928,0.0,0.0383,0.000601,0.00287,0.0914,0.644,120.012,181000.0,,2016.0
6L778PA16SuyYvFhqnMndY,Starboy - Kygo Remix,The Weeknd,5.0,4j9tgSp0zEFgAIhemWVhpw,Starboy (Kygo Remix),2016-11-11,Tropical Beats,37i9dQZF1DX1bDvyV0IkZ3,latin,tropical,0.751,0.623,9.0,-7.215,0.0,0.0939,0.209,0.0,0.168,0.383,93.01,244720.0,,2016.0
586K9ePOONPFlulgR3zXuv,Beat the Sunrise - Original Mix,SNBRN,25.0,2R7vxwdfoQXlqd8kOhLmCK,Beat the Sunrise,2016-01-26,Tropical Morning,0vbtbmyihyvl2MVYrdKdGw,latin,tropical,0.71,0.824,5.0,-6.001,0.0,0.028,0.0119,0.000574,0.589,0.208,124.0,172742.0,,2016.0
7o2SgrTlLry8e0pHJrdqQ5,My Sunshine,Kavv,51.0,6oFBUoIrI1Qnm5uFJsvJZQ,Cruise Control,2017-12-01,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.695,0.185,5.0,-10.311,0.0,0.071,0.933,0.908,0.111,0.932,144.36,106667.0,,2017.0
3C8QLBRHBQ5BlykfDpSRbT,The Other - DallasK Remix,Lauv,1.0,6MWmSQtgRrSqQkwTVuO65J,The Other (Remixes),2017-03-17,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.592,0.688,7.0,-3.434,1.0,0.047,0.157,0.0,0.108,0.351,104.075,222115.0,,2017.0
6FSh2zsLQQ2wFwpj7FQCkr,You Are The Reason - Tiësto's AFTR:HRS Remix,Calum Scott,42.0,5qDoMqqqaLAJuYh2yPt8cY,You Are The Reason (Tiësto's AFTR:HRS Remix),2017-12-15,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.653,0.834,10.0,-4.576,1.0,0.0414,0.0151,0.000209,0.264,0.0754,119.944,201183.0,,2017.0
5j2zA6PmOe8JSz5T2zbnNZ,Lemon Tree - Radio Edit,Pesho,26.0,0RGm3A2ImRfFmIkHrMycxG,"Finest Club Hits, Vol. 10",2017-11-10,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.676,0.896,7.0,-3.395,0.0,0.315,0.156,0.0,0.0777,0.75,175.864,185677.0,,2017.0
734vYzX6YKgSDHzXuLQJmg,Dale Vieja Dale,Toño Rosario,55.0,1wtrxb0990oFB6aa4tr50L,Galactico,2017-06-08,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.648,0.951,7.0,-1.565,1.0,0.233,0.527,0.0,0.0707,0.966,165.364,216503.0,,2017.0
6TAo21yrAU1tZskiRxivRm,Rewind,Cornpop,50.0,5jT0IK2DZBrhUC9paSmanT,Rewind,2017-02-24,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.725,0.823,7.0,-4.76,1.0,0.0814,0.0336,0.0693,0.191,0.237,112.045,207615.0,,2017.0
1WoDc1x28zHmxnPvvM5GLh,La Asesina,Zacarias Ferreira,65.0,47hm8FIBjBtP5pYjO0fJUq,El Amor,2017-09-27,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.81,0.803,3.0,-3.042,1.0,0.0349,0.385,0.0,0.14,0.883,130.049,204733.0,,2017.0
1Bt0UAApn7Oxdam3lQs1vo,Feel It Still,Revelries,58.0,1ABBRyrEHEURRnsj9JZNLC,Feel It Still,2018-01-19,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.686,0.679,11.0,-7.524,0.0,0.0334,0.0696,4.29e-06,0.0887,0.308,123.942,222591.0,,2018.0
2uya74pnB7L0uKJNUW9Irj,Targa,S-Ilo,3.0,5PZeH9mVqrueuoeBGTTER9,Targa,2018-08-08,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.739,0.509,10.0,-8.703,0.0,0.289,0.832,0.944,0.11,0.956,91.003,211043.0,,2018.0
3DGar7krWlmrXRFHBcQF6z,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74.0,5so9rCf7p2L6w6o4KZahE9,Whenever (feat. Conor Maynard),2018-06-22,Tropical House 🌴,06zrBJ5cts5aemZmqe80J7,latin,tropical,0.734,0.765,7.0,-5.562,1.0,0.0621,0.151,0.0,0.231,0.518,109.989,163636.0,,2018.0
3f0O8XWSxYA2zxLCpq95Wl,Te Quiero a Morir,Ralphy Dreamz,45.0,6acunivZ3ixjKEDZkoWXXL,Te Quiero a Morir,2018-07-30,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.814,0.674,9.0,-5.659,1.0,0.0379,0.696,0.117,0.101,0.903,125.002,204565.0,,2018.0
7q1HTi8JRpHEr73M6m0Z9h,I Feel It Too,Maiwan,5.0,0z8ZRKGJ2PVFuki4UhguLT,I Feel It Too,2018-12-14,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.695,0.739,11.0,-10.701,0.0,0.0344,0.00655,0.43,0.372,0.443,114.998,225469.0,,2018.0
5sIx4BlfYGuZeSLF40N9GH,Remind Me to Forget,Kygo,74.0,5Og1PZOwpUkL8slf11stBq,Remind Me to Forget,2018-03-16,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.685,0.508,0.0,-6.4,1.0,0.0987,0.193,0.0,0.139,0.315,99.063,217287.0,,2018.0
7j1Y0cl0RqV74Gl0eSvDgS,Pizza,Statistix,61.0,2kMF5TOiVSs0ka9nl49BlZ,Pizza,2018-10-24,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.842,0.29,11.0,-12.099,0.0,0.121,0.228,0.904,0.114,0.405,79.985,212079.0,,2018.0
6WKynwuNv6tsxlFsnWYkQn,Movement,Lylos,57.0,1uuViGWUYCNyHgaTan5oVk,Movement,2018-10-26,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.857,0.42,2.0,-11.201,1.0,0.0424,0.229,0.891,0.122,0.589,110.024,172028.0,,2018.0
0wi6K89xCYDLPy35wddqTG,Dear Friend,Sugar Blizz,5.0,4J4f7Gy0PuHabbLu3QOsf0,Dear Friend,2018-11-09,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.684,0.657,9.0,-7.666,0.0,0.0316,0.0975,0.00512,0.114,0.651,102.06,225338.0,,2018.0
2ozv99MuHIaE4DZIzAr59q,Adiós Amor,Daniela Darcourt,62.0,7epttbabumhVS3xZVcmN5j,Adiós Amor,2018-10-01,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.677,0.771,1.0,-6.204,1.0,0.034,0.205,2.71e-06,0.0912,0.304,92.514,268214.0,,2018.0
5sm8mtcQQOhKT8YgCBwVNr,Beautiful Weather,Jmss,40.0,3PA2l8rCpIb7Wiv4mThBMD,Want Some Coffee ?,2018-08-06,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.694,0.402,0.0,-9.063,1.0,0.0377,0.351,0.224,0.0908,0.398,94.997,129474.0,,2018.0
7pnPzV2XKnsCtjSLHeWQto,Culpable - Remix / Versión Salsa,Tutto Duran,49.0,1hkw8UAxYNIMZKRxSyUW6y,Culpable (Remix / Versión Salsa),2019-08-15,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.673,0.871,11.0,-3.316,1.0,0.044,0.426,0.0,0.171,0.948,95.994,197167.0,,2019.0
1HKy1dIWhAalbTCyyYR8kZ,Sumatra,Nora Van Elken,59.0,3mRnQHYsw2FC3tRgKIJj3k,Sumatra,2019-10-02,Tropical Vibes,37i9dQZF1DX6RA5ZrA5a23,latin,tropical,0.71,0.735,10.0,-9.098,0.0,0.0474,0.609,0.961,0.109,0.156,115.998,176308.0,,2019.0
16A5ZOVLQsIxVl0HyK6X7w,Sunday,Jahzel Dotel,28.0,0LXGXXPDa0titrvpMjDEeD,Sunday,2019-05-12,Punto Tropical,37i9dQZF1DWZ1FUX6sM67g,latin,tropical,0.78,0.672,5.0,-8.263,1.0,0.044,0.796,0.000388,0.094,0.838,113.077,141622.0,,2019.0
1s4fSOz0TQWTb7TF9zzzut,Moi Lolita (feat. OT),Palm Trees,44.0,0nY38xX2enL9oWRDzrku72,Moi Lolita (feat. OT),2019-07-05,Tropical House Remixes 🍍 Tropical Remixes & Tropical Covers,3YdAwfgQLMS4AN2WjRfRlb,latin,tropical,0.76,0.765,11.0,-4.699,0.0,0.095,0.322,8.6e-06,0.098,0.603,104.047,174194.0,,2019.0
2swZ0X1njeU32SNJeBKIfW,Inmortal,Aventura,73.0,1yM8iaMk4Slsqr94LabgN1,Utopia,2019-04-05,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.77,0.775,8.0,-4.65,0.0,0.0349,0.178,0.0,0.0651,0.848,124.015,256440.0,,2019.0
