track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,0,release_year
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,91.0,4ow6xJwn49gpWz7iHpOzWY,"10,000 Hours (with Justin Bieber)",2019-10-04,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,,2019.0
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,XXXTENTACION,86.0,5VdyJkLe3yvOs0l4xXbWp0,17,2017-08-25,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133.0,,2017.0
4sjiIpEv617LDXaidKioOI,223's (feat. 9lokknine),YNW Melly,85.0,7cekEHNPgpKwVd9kJE9G8F,223's (feat. 9lokknine),2019-08-09,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.932,0.547,0.0,-7.787,0.0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640.0,,2019.0
7tgjDlQsMR8RvkdlNCJA58,6 Kiss,Trippie Redd,83.0,0tKX7BLXiiRgXUKYdJzjEz,A Love Letter To You 4,2019-11-22,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.687,0.449,2.0,-10.061,1.0,0.154,0.109,0.0,0.282,0.229,142.048,199437.0,,2019.0
2VxeLyX666F8uXCJ0dZF8B,Shallow,Lady Gaga,88.0,4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,2018-10-05,Urban contemporary,1ZlL3IQS8eB0s0RMxz02yD,r&b,urban contemporary,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,,2018.0
6klLvorLoo1sxvZcjJIY8I,Make No Sense,YoungBoy Never Broke Again,84.0,1nzUj7VkiaytMmf2KrhK2L,AI YoungBoy 2,2019-10-11,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.876,0.733,10.0,-4.478,0.0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630.0,,2019.0
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,85.0,700MviIgFKNTldTXmOAFOr,"Alone, Pt. II",2019-12-27,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.67,0.668,3.0,-4.306,0.0,0.0422,0.536,0.0,0.133,0.608,88.033,179053.0,,2019.0
6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,Tyga,91.0,3Cse4lihKX7ww99QnZGQAh,Ayy Macarena,2019-11-13,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.816,0.63,2.0,-5.568,1.0,0.226,0.133,0.0,0.0692,0.715,96.493,131607.0,,2019.0
2Xo3rLHjXfdb4avN68aQyi,BEST ON EARTH (feat. BIA),Russ,82.0,2TBJtc64Y76xWs98Mtko07,BEST ON EARTH (feat. BIA),2019-10-18,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.568,0.764,5.0,-3.465,0.0,0.255,0.217,0.0,0.0931,0.625,179.985,160720.0,,2019.0
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,85.0,7oiJYvEJHsmYtrgviAVIBD,Back from the Edge,2016-10-28,urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,211467.0,,2016.0
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,92.0,3t6Z2qoBVCS4NHNI25XECH,Bandit (with YoungBoy Never Broke Again),2019-10-04,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.474,0.631,5.0,-5.884,0.0,0.343,0.0687,0.0,0.132,0.425,180.051,189323.0,,2019.0
3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,83.0,0YZLXTaHLcgl5UdtKDiUXD,Be Alright,2018-06-29,urban contemporary,4WiB26kw0INKwbzfb5M6Tv,r&b,urban contemporary,0.553,0.586,11.0,-6.319,1.0,0.0362,0.697,0.0,0.0813,0.443,126.684,196373.0,,2018.0
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,83.0,0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,2015-08-28,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,0.58,0.565,0.0,-7.065,0.0,0.0488,0.0671,0.0,0.135,0.138,112.986,242253.0,,2015.0
7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,90.0,0488X5veBK6t3vSmIiTDJY,Before You Go,2019-11-19,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,,2019.0
0sf12qNH5qcw8qpgymFOqD,Blinding Lights,The Weeknd,98.0,2ZfHkwHuoAZrlz7RMj0PDz,Blinding Lights,2019-11-29,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.513,0.796,1.0,-4.075,1.0,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573.0,,2019.0
2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,90.0,06S3Qjh4QWLtn6c7CVhYh7,Callaita,2019-05-31,Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary,0.61,0.624,2.0,-4.773,1.0,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534.0,,2019.0
4sWuPniHClkInYAnzXAYUF,Camelot,NLE Choppa,85.0,5tdGgaiW18D6bjHFLhtblL,Camelot,2019-09-13,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.787,0.713,7.0,-5.252,1.0,0.401,0.0849,0.0,0.717,0.762,175.041,148759.0,,2019.0
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,84.0,2vD3zSQr8hNlg0obNel4TE,Camila,2018-01-12,Cuban vibes only,6VWXakL2ojgiVC01I271e2,r&b,urban contemporary,0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307.0,,2018.0
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,85.0,6UYZEYjpN1DYRW0kqFy9ZE,Championships,2018-11-30,Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,180522.0,,2018.0
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,82.0,6OGzmhzHcjf0uN9j7dYvZH,Chanel,2017-03-10,Urban Contemporary,4425cRh83Uzor4qCRfM9lb,r&b,urban contemporary,0.776,0.503,0.0,-5.732,0.0,0.237,0.874,0.0,0.112,0.473,110.134,210285.0,,2017.0
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,84.0,4eLPsYPBmXABThSJ821sqY,DAMN.,2017-04-14,Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000.0,,2017.0
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,Baby Keem,83.0,7Cw4LObzgnVqSlkuIyywtI,DIE FOR MY BITCH,2019-07-19,New Hip Hop‏‏​​   ‍,5WNUX6jisX0NRlVDTm6RDd,r&b,urban contemporary,0.83,0.564,1.0,-7.822,1.0,0.235,0.177,0.0,0.128,0.107,85.042,129882.0,,2019.0
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,87.0,1V9oE8bVilClrk5naqyyvL,Dancing With A Stranger (with Normani),2019-01-11,Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,r&b,urban contemporary,0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171030.0,,2019.0
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,97.0,0ix3XtPV1LwmZADsprKxcp,Don't Start Now,2019-10-31,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290.0,,2019.0
1j4kHkkpqZRBwE0A4CN4Yv,Dusk Till Dawn - Radio Edit,ZAYN,81.0,5l5gR4rh26QI3fijGFTDrp,Dusk Till Dawn (Radio Edit),2017-09-07,urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000.0,,2017.0
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,84.0,7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),2018-07-12,PROJECT: Contemporary,6HaCi9bqaiuSZEDfCEmwyo,r&b,urban contemporary,0.56,0.68,6.0,-7.648,0.0,0.321,0.555,0.0,0.116,0.319,89.391,173800.0,,2018.0
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,81.0,17FBoXK1NU2rvJBbzdzw0r,FUTURE,2017-06-30,Chixtape 5 - Tory Lanez,0UXwwVDipbBQeEX7h4YuKU,r&b,urban contemporary,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,204600.0,,2017.0
3jjujdWJ72nww5eGnfs2E7,Adore You,Harry Styles,88.0,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13,Most Popular 2020 TOP 50,1fqkbjEACMlekdddm5aobE,r&b,urban contemporary,0.676,0.771,8.0,-3.675,1.0,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133.0,,2019.0
